date,daily_RMSE_SEIR_TLGRF,daily_MAE_SEIR_TLGRF,daily_RMSE_SEIR_Fixed,daily_MAE_SEIR_Fixed,daily_RMSE_SEIR_tcv,daily_MAE_SEIR_tcv,daily_RMSE_TLGRF,daily_MAE_TLGRF
2020-12-23,0.509950707250363,0.3815020061532638,0.4728639888222747,0.34519023982214975,0.5231675178732861,0.40307631841109465,0.20534709019084268,0.1365865176556603
2020-12-24,0.5193685345155242,0.40060353296641626,0.48006690420293646,0.3558111592276261,0.5315168768846897,0.4149008987628258,0.1888177621332045,0.14047368627103674
2020-12-25,0.5161420913802173,0.39854471025523575,0.47665296355348985,0.3563863757408468,0.5297756135565524,0.4158104756403403,0.17286610992281734,0.1302668271144228
2020-12-26,0.507288997115802,0.392080617432959,0.468783870733338,0.34522850046804265,0.5508797926688581,0.4440298453437536,0.1432272180747437,0.10850777275466561
2020-12-27,0.4908792278983042,0.37519489626383595,0.45615491153028226,0.3260478955083791,0.5109632945069909,0.3907353631864628,0.12975539245445103,0.09069607896547606
2020-12-28,0.49685952001412753,0.3746542736346963,0.46585917156987317,0.33339324981092205,0.5173386933846885,0.39231827665276453,0.14146606141913315,0.10050116655714794
2020-12-29,0.4852846993123667,0.36032539910582667,0.45689296222226333,0.32854990037065174,0.5149003150989194,0.38783968609781516,0.12886799961491854,0.09634482177813794
2020-12-30,0.4904526741922121,0.3576934239178081,0.4621864728243293,0.3354836896663399,0.5165410477441736,0.38946183532577516,0.13152214160932876,0.10314353874560925
2020-12-31,0.49069643228822085,0.35593230327434044,0.45864911349847826,0.32903281553755,0.5100585954602481,0.37814031287100386,0.14120756169726142,0.11068708812992807
2021-01-01,0.47138074807017766,0.33531134858858785,0.4804834770876234,0.34862757361395924,0.5441088333731465,0.4079628775530547,0.16455700785525434,0.11846888424085791
2021-01-02,0.46656765725301347,0.33255516468415913,0.48131827537127175,0.34325089816586707,0.5314764885414777,0.39032498686969097,0.1474946140703879,0.11344275430694614
2021-01-03,0.4790990591681769,0.34474109737878117,0.49271255649884393,0.3460155625335709,0.5444495765267588,0.40108481990981165,0.145672277256674,0.11583344838903073
2021-01-04,0.4795650643733788,0.3491889383192868,0.49763150811805273,0.3459654783166287,0.5481740984913197,0.4006480013302073,0.17204563287741922,0.13696297737222202
2021-01-05,0.49692825869611046,0.35869356335065194,0.5134835086449289,0.35567946178597587,0.5633743669721045,0.41042463565745185,0.18105830137057438,0.13654243146743447
2021-01-06,0.49010948764586654,0.34404669709230656,0.5131379699425818,0.34403914031917265,0.5595334432966448,0.3905135732598086,0.1938910436682403,0.15276556388796134
2021-01-07,0.503441573424154,0.3478688803494791,0.530785282037336,0.3499390582422528,0.5799581398719115,0.4055576255582883,0.1678691881125176,0.12392246913289291
2021-01-08,0.5009530670246342,0.3498016607023258,0.5315764881521449,0.36456113262450174,0.5726485921067133,0.4038404580135578,0.15643286885526933,0.12175274762877512
2021-01-09,0.4992586258074559,0.344284416354905,0.5267156590202369,0.35876178529655073,0.5769633506421838,0.4147702690578785,0.12630077177456703,0.09051892808773902
2021-01-10,0.493112418038421,0.3417936495059176,0.5251324689896516,0.3621889817121337,0.575024309067031,0.41201604802209546,0.1338243113423039,0.09207881732586526
2021-01-11,0.4652708521974603,0.32038038579187317,0.5014983658820086,0.3464579917684531,0.5514809235604677,0.391369606095361,0.14965620516508527,0.10338383352396167
2021-01-12,0.4462954253645271,0.3029630620732459,0.4859094935117001,0.33316067117172793,0.5334611716208458,0.375585353947688,0.18911856620900533,0.13792859571347318
2021-01-13,0.4609740620258338,0.324540847739389,0.501414709448248,0.3521438658136158,0.5531438264186149,0.4036490680032657,0.1784883450869684,0.12463963567180766
2021-01-14,0.4415178886699967,0.29946786254901764,0.48503904825381566,0.338809252581232,0.539256259038729,0.39569699765976923,0.218924907969867,0.1406880074301146
2021-01-15,0.4362260741828708,0.30219349062375234,0.47678083393325144,0.33726180261892674,0.5288621097348379,0.3923020594555164,0.18091989837741304,0.10791672704061446
2021-01-16,0.4112719089485573,0.28923421264312704,0.4598969802343127,0.32407886809612685,0.5123646202121879,0.37858569361394884,0.143132064094063,0.08335195384652998
2021-01-17,0.4257577965832584,0.30287234969197385,0.46730770942973643,0.3317201429834148,0.5212509749282382,0.39005181113120063,0.1288308862470191,0.08992320541788187
2021-01-18,0.42256346180307636,0.30397163207492495,0.4681665609179438,0.3348394531983113,0.5227801437114385,0.39346494029158346,0.1550907815109629,0.10631606220554951
2021-01-19,0.43049809922050764,0.3149793246585062,0.4694637568158563,0.336779537772009,0.5282428196137099,0.40004418240963,0.1722653025737466,0.11999674469752143
2021-01-20,0.431568003610793,0.31799365726218526,0.4674914723643812,0.3393189073099172,0.5250533982128183,0.3962602696188345,0.15306680548172852,0.11231425874165937
2021-01-21,0.4435794297715723,0.326042919660423,0.4740112583192023,0.34544570801737734,0.5340863350962737,0.4040135700603167,0.15070732311316132,0.11388608408661034
2021-01-22,0.45055701471732196,0.3279085955726006,0.47550980491956735,0.34568007274043083,0.541311221327554,0.4107167371115264,0.1558518660013726,0.11388245886006151
2021-01-23,0.4616335091890481,0.34802920519032576,0.4986051098332548,0.36794954548620873,0.5617474308307355,0.43211300960225457,0.14438246764655058,0.11170319103834951
2021-01-24,0.47818902563863525,0.364991424919898,0.5111606530023685,0.3813867603670652,0.575337201803738,0.44356589850165173,0.14803966458083753,0.1194515089270823
2021-01-25,0.4749761349779766,0.3623916813644237,0.5027547891921497,0.3794478531911525,0.5676258388006259,0.4397159496796483,0.1474921165463993,0.11954927744486679
2021-01-26,0.496224960727569,0.38855792601363537,0.5235222109690586,0.40997616648247587,0.6166747882593206,0.49500659929177476,0.16914327608454557,0.1362233682990967
2021-01-27,0.5136633562538288,0.40154409880328545,0.5347162162542286,0.42455792356967975,0.6037802207678069,0.4905457535128836,0.18514900250020425,0.14406004379147935
2021-01-28,0.5472339939770424,0.43942888468842556,0.5645049284668201,0.45766351529350274,0.6345491095829354,0.5223492573306889,0.2105995125840876,0.1742975947002844
2021-01-29,0.5488859041043507,0.425634001105151,0.5670453634968902,0.4451823067374879,0.6356401456478347,0.508616905668598,0.1896748393071927,0.13830260475468573
2021-01-30,0.5313494948472296,0.39685786852887683,0.5422085896294546,0.41382575891594664,0.6251733276369232,0.4928835417335769,0.16136866456868182,0.11819412778882575
2021-01-31,0.5229647524400762,0.37733060856413275,0.5257205492809237,0.39477447581033726,0.5929833517430706,0.45470935975156446,0.18602696917424041,0.12513632904143523
2021-02-01,0.5011701051772173,0.35538566516808523,0.5615673900566018,0.4212250245439137,0.6313566580572446,0.4900029269205953,0.13192268876266672,0.10131794153860102
2021-02-02,0.5040560576275841,0.3533902116171018,0.566127659599693,0.4190251895539982,0.6419112440432706,0.49819521329129507,0.14900964094953817,0.10374562980690795
2021-02-03,0.5184856274889117,0.3620631684039181,0.576235479906664,0.423183029114879,0.6764782232074095,0.5325175727549324,0.15179913536316547,0.10974397015756154
2021-02-04,0.5160918229530393,0.35466342775809157,0.5732215207876775,0.41691859773144857,0.6898719065965483,0.5438016553341568,0.17044166074172207,0.12637127766536405
2021-02-05,0.5225733190231175,0.35534857187024316,0.5798937286801066,0.42264691363945955,0.658793575360213,0.49796000802637,0.15769247237693265,0.11622720590047934
2021-02-06,0.49214543359058965,0.34027850425060857,0.5602153652687346,0.4175798535444925,0.634688948696119,0.49608739035632865,0.15059805570406806,0.11063365448474922
2021-02-07,0.5032990930206707,0.35755051251550807,0.5749795286651036,0.440183567533618,0.6457555491982969,0.5115344353922539,0.16517411981425092,0.12329489886228942
2021-02-08,0.46621669514183595,0.32060106163301666,0.5261585361134296,0.38678422948691094,0.6170379319848611,0.4776687643010341,0.15205922377761227,0.10207186021068969
2021-02-09,0.46118588036681635,0.3209959764280733,0.5268803106139937,0.3877282516084685,0.6201914327141301,0.477374153380306,0.15338218209950555,0.10542550707032987
2021-02-10,0.4651781007522035,0.32425574908739047,0.5421906011500082,0.3991207843159936,0.6182640785492242,0.4730605057773721,0.1825734764224401,0.12827713570400448
2021-02-11,0.47620883068778375,0.33722590573040506,0.5549352240952382,0.41493497403151197,0.6408924752959001,0.5027260268051317,0.18939358377792115,0.13724073418656713
2021-02-12,0.4799729454551863,0.3438232455539356,0.5640933284410312,0.4194212673685715,0.6434549286064475,0.4984509304462081,0.1351920316935057,0.09987569983637339
2021-02-13,0.4871916666731498,0.34983450448817927,0.5759616485111746,0.43168531407397953,0.6551632255446526,0.5172874610959945,0.09829330935776376,0.07736025667844003
