"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","lm.mse","slm.mse","lm.mape","slm.mape"
51660,2021-02-04,380,"Harrisonburg city","Virginia",6.3312476233765,-0.0423159200103791,529.618574329085,6.03503618330384,0,379,6.3312476233765,2021-02-11,387,6.08742386682475,0.00274446938468643,0.0594500242590066,0.00860588726315031,0.040053684758267
51670,2021-02-04,380,"Hopewell city","Virginia",6.51132070118824,-0.00148541141370495,4763.51330891388,6.50092282129231,0,379,6.51132070118824,2021-02-11,387,6.38784085789827,0.0127875304450511,0.0152472716989169,0.0177026895174165,0.0193304507793581
51678,2021-02-04,380,"Lexington city","Virginia",4.92621795228367,-0.00516797015844547,1333.22105222169,4.89004216117456,0,379,4.92621795228367,2021-02-11,387,5.12481395820496,0.0551177966808863,0.0394403735678885,0.045810794098102,0.0387518469042825
51680,2021-02-04,380,"Lynchburg city","Virginia",7.23035624258712,-0.0225073439622866,701.244312731984,7.07280483485111,0,379,7.23035624258712,2021-02-11,387,7.05924937198083,0.00018375057362759,0.0292775611686771,0.00192024139621493,0.0242386777389443
51683,2021-02-04,380,"Manassas city","Virginia",6.40357419793482,-0.00471921593164819,1736.91485422206,6.37053968641328,0,379,6.40357419793482,2021-02-11,387,6.19002262294958,0.0325864102015579,0.0456042751786757,0.029162585415186,0.0344993205991676
51685,2021-02-04,380,"Manassas Park city","Virginia",4.40845989174204,-0.0341913647482737,508.934891139864,4.16912033850412,0,379,4.40845989174204,2021-02-11,387,4.13402304604028,0.00123181993829258,0.0753155822787315,0.00848986376538497,0.0663849336700302
51690,2021-02-04,380,"Martinsville city","Virginia",5.52772695944089,-0.0279973493872024,577.437510351163,5.33174551373048,0,379,5.52772695944089,2021-02-11,387,5.31951957419864,0.000149473597436182,0.0433503152694171,0.00229831648540944,0.0391402611341309
51700,2021-02-04,380,"Newport News city","Virginia",7.96999992347937,-0.0116845553446767,1062.09698087573,7.88820803606663,0,379,7.96999992347937,2021-02-11,387,7.84300794873768,0.00204304789454525,0.0161269616487948,0.00576310614809856,0.0161917437253308
51710,2021-02-04,380,"Norfolk city","Virginia",7.94281903250527,-0.01810277222594,818.762579198989,7.81609962692369,0,379,7.94281903250527,2021-02-11,387,7.81341830778121,7.18947234381741e-06,0.0167445475591115,0.000343168513044725,0.016561346087818
51730,2021-02-04,380,"Petersburg city","Virginia",6.87183198051953,0.000592504831436362,-11217.9340858043,6.87597951433958,0.00059250483143547,-11217.9340858218,6.87597951433958,2021-02-11,387,6.67888105295894,0.0388478034786163,0.0388478034786139,0.0295107009419372,0.0295107009419362
