"date.x","days_from_start.x","county","state","fips","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y"
2021-12-09,688,"Kerr","Texas",48265,6.39550006240655,-0.0200644049549558,1006.74855380782,6.25504922772186,0,687,6.39550006240655,2021-12-16,695,NA
2021-12-09,688,"Kleberg","Texas",48273,3.62243435470578,-0.015151805020606,927.07609355977,3.51637171956154,0,687,3.62243435470578,2021-12-16,695,NA
2021-12-09,688,"Lamar","Texas",48277,4.47733681447821,0.0881927120354737,637.232349123391,5.09468579872652,0.0881927120354611,637.232349123384,5.09468579872643,2021-12-16,695,NA
2021-12-09,688,"Lamb","Texas",48279,3.70306408910589,0.0249567319738703,539.620633142873,3.87776121292299,0.0249567319738673,539.620633142855,3.87776121292296,2021-12-16,695,NA
2021-12-09,688,"Lampasas","Texas",48281,4.11087386417331,0.0333364202675957,564.685204014864,4.34422880604648,0.0333364202675916,564.685204014849,4.34422880604645,2021-12-16,695,NA
2021-12-09,688,"La Salle","Texas",48283,5.03695260241363,-0.0471101602374408,794.918604755891,4.70718148075154,0,687,5.03695260241363,2021-12-16,695,NA
2021-12-09,688,"Lavaca","Texas",48285,3.50512830451039,-0.0461297717275092,763.984080849464,3.18221990241782,0,687,3.50512830451039,2021-12-16,695,NA
2021-12-09,688,"Lee","Texas",48287,3.03769647265303,0.0419641990990399,615.612189964981,3.3314458663463,0.0419641990990343,615.612189964971,3.33144586634626,2021-12-16,695,NA
2021-12-09,688,"Leon","Texas",48289,3.56751859710967,0.012170535620255,394.872506812898,3.65271234645145,0.0121705356202546,394.87250681289,3.65271234645145,2021-12-16,695,NA
2021-12-09,688,"Liberty","Texas",48291,5.18178355029209,-0.0230077582451326,913.218967231991,5.02072924257616,0,687,5.18178355029209,2021-12-16,695,NA
2021-12-09,688,"Limestone","Texas",48293,3.36729582998647,0.040206420478045,604.249798167802,3.64874077333279,0.040206420478039,604.24979816779,3.64874077333275,2021-12-16,695,NA
2021-12-09,688,"Lipscomb","Texas",48295,3.50941096630239,-0.085942429800723,728.834439687588,2.90781395769733,0,687,3.50941096630239,2021-12-16,695,NA
2021-12-09,688,"Llano","Texas",48299,4.0943445622221,-0.00237812240496829,2409.67107700947,4.07769770538732,0,687,4.0943445622221,2021-12-16,695,NA
2021-12-09,688,"Lubbock","Texas",48303,7.6377852771108,0.0113543174958498,15.3232600812404,7.71726549958175,0.0113543174958499,15.3232600812453,7.71726549958175,2021-12-16,695,NA
2021-12-09,688,"Lynn","Texas",48305,3.33729357968267,0.06826797112901,639.114797693694,3.81516937758574,0.0682679711290008,639.114797693688,3.81516937758568,2021-12-16,695,NA
2021-12-09,688,"McLennan","Texas",48309,6.19934941746155,-0.00895312839736644,1380.42270883606,6.13667751867999,0,687,6.19934941746155,2021-12-16,695,NA
2021-12-09,688,"Madison","Texas",48313,3.35739475900376,-0.0342331716422412,786.074312076331,3.11776255750807,0,687,3.35739475900376,2021-12-16,695,NA
2021-12-09,688,"Martin","Texas",48317,3.29583686600433,0.0942525382462019,653.031850310544,3.95560463372774,0.0942525382461881,653.031850310539,3.95560463372765,2021-12-16,695,NA
2021-12-09,688,"Matagorda","Texas",48321,3.43398720448515,0.0186051878310382,503.428511892991,3.56422351930241,0.0186051878310356,503.428511892965,3.5642235193024,2021-12-16,695,NA
2021-12-09,688,"Maverick","Texas",48323,5.08671411197269,-0.0321347667637989,846.293170426962,4.8617707446261,0,687,5.08671411197269,2021-12-16,695,NA
2021-12-09,688,"Medina","Texas",48325,4.88496408559086,-0.0139412445620874,1038.39655633582,4.78737537365625,0,687,4.88496408559086,2021-12-16,695,NA
2021-12-09,688,"Midland","Texas",48329,6.40735135067856,0.01495576837731,259.57992895909,6.51204172931973,0.0149557683773089,259.579928959059,6.51204172931972,2021-12-16,695,NA
2021-12-09,688,"Milam","Texas",48331,3.74444930526875,0.0308772385644441,566.731082203038,3.96058997521986,0.0308772385644396,566.73108220302,3.96058997521982,2021-12-16,695,NA
2021-12-09,688,"Mills","Texas",48333,3.18988828799495,0.0988458346366326,655.728652403803,3.88180913045138,0.098845834636633,655.728652403803,3.88180913045138,2021-12-16,695,NA
2021-12-09,688,"Mitchell","Texas",48335,3.22457384598284,-0.0922061938667355,722.971336639741,2.57913048891569,0,687,3.22457384598284,2021-12-16,695,NA
2021-12-09,688,"Montague","Texas",48337,3.30636327899132,0.0482667409698424,619.498103817343,3.64423046578021,0.0482667409698347,619.498103817333,3.64423046578016,2021-12-16,695,NA
2021-12-09,688,"Montgomery","Texas",48339,6.75060009013458,-0.000334280464420171,20882.4199815681,6.74826012688364,0,687,6.75060009013458,2021-12-16,695,NA
2021-12-09,688,"Moore","Texas",48341,4.79460921055091,-0.0371272340288948,817.139951735145,4.53471857234865,0,687,4.79460921055091,2021-12-16,695,NA
2021-12-09,688,"Morris","Texas",48343,3.3722098447889,0.0710959216837418,640.568167555523,3.86988129657509,0.0710959216837304,640.568167555515,3.86988129657501,2021-12-16,695,NA
