fips,county_x,state_x,date.x,tau.hat,log_rolled_cases,shifted_log_rolled_cases,rolled_cases,shifted_rolled_cases,predictor,delta cases,capacity,rank_unfiltered,changepoint,outbreak,rank_filtered,delta_ranked
8113.0,San Miguel,Colorado,2021-12-17,0.0074193312122277,3.9005286260024095,4.404975567659426,49.42857142857135,81.85714285714288,0.36672694277582574,32.42857142857152,1.0,4.0,0.0,0.0,2.0,2.0
8091.0,Ouray,Colorado,2021-12-17,-0.0191181050698696,3.470190253149109,3.5136753650888464,32.14285714285721,33.5714285714286,-0.6145105201029527,1.428571428571388,1.0,8.0,0.0,0.0,3.0,4.0
8103.0,Rio Blanco,Colorado,2021-12-17,-0.0181789443519976,4.165557190447364,4.149914413376911,64.42857142857137,63.428571428571416,-1.1712434146787016,-0.9999999999999574,1.0,10.0,0.0,0.0,4.0,5.0
8095.0,Phillips,Colorado,2021-12-17,-0.0535099861535073,3.207381445442465,3.1600353248452686,24.714285714285698,23.5714285714286,-1.3224610863652508,-1.1428571428570962,1.0,11.0,0.0,0.0,5.0,7.0
8063.0,Kit Carson,Colorado,2021-12-17,-0.0126254055992965,4.724856171790564,4.699180820450332,112.71428571428605,109.85714285714299,-1.4230635739778525,-2.85714285714306,1.0,12.0,0.0,0.0,6.0,9.0
8025.0,Crowley,Colorado,2021-12-17,-0.0537491798316568,3.367295829986474,3.0713696877596126,29.000000000000004,21.571428571428605,-1.5587262151180474,-7.428571428571399,1.0,13.0,1.0,1.0,7.0,10.0
8065.0,Lake,Colorado,2021-12-17,-0.0162543038736749,4.652598879559204,4.630559419992915,104.85714285714307,102.571428571429,-1.704379863325343,-2.2857142857140786,1.0,15.0,0.0,0.0,8.0,8.0
8049.0,Grand,Colorado,2021-12-17,-0.0193732044148454,4.556879896860311,4.640261505799366,95.28571428571432,103.57142857142901,-1.845989620671698,8.28571428571469,1.0,17.0,0.0,0.0,9.0,3.0
8019.0,Clear Creek,Colorado,2021-12-17,-0.0409998261833043,3.9233867640784617,3.9034146308915454,50.5714285714286,49.57142857142855,-2.0734197812699615,-1.0000000000000497,1.0,18.0,0.0,0.0,10.0,6.0
8105.0,Rio Grande,Colorado,2021-12-17,-0.02825793543988,5.002026919559658,4.789869865187011,148.714285714286,120.28571428571404,-4.202358684702162,-28.42857142857197,1.0,28.0,0.0,0.0,11.0,12.0
8071.0,Las Animas,Colorado,2021-12-17,-0.0305772473227451,5.234921049989244,4.94469897109185,187.71428571428595,140.42857142857102,-5.7397861402981585,-47.28571428571493,1.0,31.0,0.0,0.0,12.0,13.0
8067.0,La Plata,Colorado,2021-12-17,-0.0271043957998849,6.124995939732504,6.07073772800249,457.14285714285666,432.99999999999994,-12.390580937090228,-24.142857142856712,1.0,41.0,0.0,0.0,13.0,11.0
8041.0,El Paso,Colorado,2021-12-17,-0.0201222255218862,8.776343505464919,8.708002435192235,6479.142857142859,6051.142857142865,-130.37477375994672,-427.99999999999363,1.0,54.0,0.0,0.0,14.0,14.0
8097.0,Pitkin,Colorado,2021-12-20,0.0462047588247009,4.354875645607931,5.674304621519141,77.8571428571429,291.2857142857141,3.5973705084945724,213.42857142857122,1.0,4.0,1.0,1.0,1.0,1.0
8113.0,San Miguel,Colorado,2021-12-20,0.0223958155383502,4.004732403532414,4.908444353199705,54.8571428571429,135.428571428571,1.2285704523894976,80.5714285714281,1.0,6.0,0.0,0.0,2.0,2.0
8103.0,Rio Blanco,Colorado,2021-12-20,0.0050150030450562,4.165557190447364,4.115546769872704,64.42857142857137,61.28571428571433,0.3231094819029063,-3.1428571428570464,1.0,7.0,0.0,0.0,3.0,7.0
8049.0,Grand,Colorado,2021-12-20,0.0028806069022241,4.550864841130549,4.723587940802569,94.7142857142857,112.57142857142897,0.27283462516779683,17.857142857143273,1.0,8.0,0.0,0.0,4.0,3.0
