Setting name,Date Resolved,County,Date Reported,Total cases,Total deaths,fips
Kenton Manor (020321): December 2020,2021-01-19,Weld,2021-01-01,3,0,8123
Titan Solutions,2021-01-24,Weld,2021-01-06,3,0,8123
Birch Assisted Living (23Y767): December 2020,2021-02-01,Weld,2021-01-07,2,0,8123
The Lodge at Greeley (23R710): January 2021,2021-01-18,Weld,2021-01-08,2,0,8123
Anheuser-Busch Metal Container Corp. - Windsor,2021-03-17,Weld,2021-01-12,15,0,8123
Garden Square at Westlake (2303C0): January 2021,2021-02-03,Weld,2021-01-13,12,0,8123
Intervention Community Corrections Services - Weld: January 2021,2021-02-04,Weld,2021-01-18,5,0,8123
"The Center at Centerplace, LLC (02Z779): January 2021",2021-02-02,Weld,2021-01-18,3,0,8123
Life Care Center of Greeley (0203TL): January 2021,2021-02-01,Weld,2021-01-19,3,0,8123
Metro Wastewater Reclamation District,2021-02-09,Weld,2021-01-19,3,0,8123
Ideal Completion Services,2021-02-15,Weld,2021-01-20,4,0,8123
University of Northern Colorado Wrestling Team,2021-02-15,Weld,2021-01-20,5,0,8123
Camping World of Longmont,2021-03-09,Weld,2021-01-21,9,0,8123
TRC Construction Pipeline Crew ,2021-02-14,Weld,2021-01-26,3,0,8123
University of Northern Colorado Football Team: January 2021,2021-04-27,Weld,2021-01-26,19,0,8123
University of Northern Colorado Track and Field Team,2021-04-06,Weld,2021-02-02,14,0,8123
Generations Church,2021-03-30,Weld,2021-02-03,24,0,8123
Elite Diesel Service,2021-03-02,Weld,2021-02-04,6,0,8123
Greeley Central High School: February 2021,2021-06-28,Weld,2021-02-05,49,0,8123
Windsor High School,2021-06-19,Weld,2021-02-05,40,0,8123
Front Range Roofing Systems LLC- Greeley,2021-03-04,Weld,2021-02-08,4,0,8123
Spradley Barr Ford of Greeley,2021-04-13,Weld,2021-02-09,21,0,8123
University of Northern Colorado Men's Basketball Team: February 2021,2021-03-23,Weld,2021-02-10,6,0,8123
Mr. Rooter-Erie,2021-03-03,Weld,2021-02-11,5,0,8123
Hays Market- Johnstown,2021-02-23,Weld,2021-02-12,2,0,8123
Varra Companies Inc. - Frederick,2021-03-04,Weld,2021-02-12,2,0,8123
Keith McNeill Head Start Center,2021-03-17,Weld,2021-02-18,3,0,8123
Weifield Group Contracting Inc. - Windsor,2021-03-11,Weld,2021-02-18,4,0,8123
"Utex Industries, Inc.",2021-03-16,Weld,2021-02-22,4,0,8123
Nature's Herbs and Wellness: February 2021,2021-04-02,Weld,2021-02-23,8,0,8123
Windmill Child Enrichment Center,2021-03-24,Weld,2021-02-23,3,0,8123
Epic Egg - Market Square,2021-03-22,Weld,2021-02-24,3,0,8123
Roma Restaurant- Windsor,2021-03-21,Weld,2021-02-24,2,0,8123
Trigger Time Gun Club,2021-03-20,Weld,2021-03-01,5,0,8123
Hudson Fire Protection District,2021-03-18,Weld,2021-03-02,6,0,8123
John Evans Early Head Start Center: February 2021,2021-03-27,Weld,2021-03-04,3,0,8123
Noffsinger Manufacturing Co.,2021-04-01,Weld,2021-03-04,7,0,8123
V.v Nails and Spa,2021-03-22,Weld,2021-03-04,2,0,8123
Town of Frederick,2021-03-31,Weld,2021-03-05,4,0,8123
St. Vrain Block Company,2021-03-26,Weld,2021-03-08,3,0,8123
"Alles Taylor & Duke, LLC",2021-03-30,Weld,2021-03-09,2,0,8123
Windsor Gymnastics Academy,2021-03-31,Weld,2021-03-09,2,0,8123
Accurate Fab and Finish,2021-03-31,Weld,2021-03-11,4,0,8123
Cheba Hut- Greeley,2021-05-02,Weld,2021-03-17,8,0,8123
"Animal Clinic, LLC ",2021-04-05,Weld,2021-03-22,4,0,8123
Interstate Ford,2021-04-07,Weld,2021-03-22,4,0,8123
Johnstown Old Time Barber Shop,2021-04-06,Weld,2021-03-22,3,0,8123
WeldWerks Brewing Co. ,2021-04-16,Weld,2021-03-22,3,0,8123
Garden Square of Greeley (2303DK): March 2021,2021-04-14,Weld,2021-03-29,2,0,8123
Kentucky Fried Chicken- Firestone,2021-04-15,Weld,2021-03-29,6,0,8123
University of Northern Colorado Athletics - Strength and Conditioning,2021-04-19,Weld,2021-03-29,2,0,8123
Alpine Lumber - Frederick,2021-05-19,Weld,2021-03-30,8,0,8123
Chili's Grill & Bar- Greeley: March 2021,2021-04-26,Weld,2021-03-30,7,0,8123
The Great Outdoors RV,2021-04-11,Weld,2021-03-30,4,0,8123
Intervention Community Corrections Services - Weld: March 2021,2021-04-22,Weld,2021-04-01,3,0,8123
Valley High School: March 2021,2021-04-24,Weld,2021-04-02,8,0,8123
First Farm Bank,2021-05-15,Weld,2021-04-05,3,0,8123
RB Law Offices,2021-04-24,Weld,2021-04-06,5,0,8123
Calvary Chapel - Windsor,2021-04-20,Weld,2021-04-08,8,0,8123
Southern Exposure Landscape,2021-05-04,Weld,2021-04-08,3,0,8123
Transwest Truck Trailer RV of Frederick,2021-05-31,Weld,2021-04-09,32,0,8123
Good Samaritan Society - Bonell Community (020356): April 2021,2021-05-20,Weld,2021-04-12,6,0,8123
Greeley West High School: March 2021,2021-06-17,Weld,2021-04-12,21,0,8123
Life Care Center of Greeley (0203TL): April 2021,2021-04-26,Weld,2021-04-12,3,0,8123
"RBL&R CPAs, LLC",2021-05-02,Weld,2021-04-12,4,0,8123
T Bare Roofing,2021-04-24,Weld,2021-04-12,5,0,8123
Windsong at Northridge (23K987): April 2021,2021-06-04,Weld,2021-04-12,2,0,8123
Centennial Head Start Center,2021-05-04,Weld,2021-04-13,4,0,8123
John Evans Early Head Start Center: April 2021,2021-05-04,Weld,2021-04-13,3,0,8123
Big O Tires,2021-05-10,Weld,2021-04-15,2,0,8123
"Broes Electric, Inc,",2021-05-10,Weld,2021-04-15,3,0,8123
Rocky Mountain Wireline Services,2021-05-11,Weld,2021-04-15,4,0,8123
Bonell Good Samaritan Center (230327): April 2021,2021-05-04,Weld,2021-04-16,2,0,8123
Ashley Manor - Evans 3 (2303AM): April 2021,2021-05-08,Weld,2021-04-19,4,0,8123
Ashley Manor - Ft. Lupton 1 (23F488),2021-05-25,Weld,2021-04-19,5,1,8123
Erie High School: April 2021,2021-06-11,Weld,2021-04-19,63,0,8123
Taco Bell- Greeley (Centerplace Dr),2021-05-08,Weld,2021-04-19,2,0,8123
Vestas Blades America - Windsor: March 2021,2021-06-16,Weld,2021-04-19,31,0,8123
"Weld County Public Works, Engineering",2021-05-07,Weld,2021-04-19,4,0,8123
Owens- Illinois: April 2021,2021-05-18,Weld,2021-04-20,5,0,8123
Grace Pointe Continuing Care Senior Campus Assisted Living (23T749): April 2021,2021-06-01,Weld,2021-04-22,6,0,8123
Otter Products - Frederick Distribution Facility,2021-06-23,Weld,2021-04-22,7,0,8123
Smokey's Cannabis Co,2021-05-17,Weld,2021-04-23,2,0,8123
Drive N Motion,2021-06-07,Weld,2021-04-26,6,0,8123
Imagine More - Windsor,2021-05-16,Weld,2021-04-26,5,0,8123
Red Rock Roofing,2021-05-18,Weld,2021-04-26,3,0,8123
"Next Step Communications, LLC",2021-05-24,Weld,2021-04-27,3,0,8123
Frontier Academy Secondary School: April 2021,2021-06-04,Weld,2021-04-29,16,0,8123
Windsor Healthcare Center (020332): April 2021,2021-06-03,Weld,2021-04-29,5,0,8123
"The Center at Centerplace, LLC (02Z779): April 2021",2021-06-16,Weld,2021-05-03,5,0,8123
The Goddard School of Erie: April 2021,2021-06-09,Weld,2021-05-03,8,0,8123
Eaton High School: April 2021,2021-05-22,Weld,2021-05-04,3,0,8123
Greeley Police Department- Investigations,2021-05-26,Weld,2021-05-04,2,0,8123
Cureton Midstream ,2021-05-23,Weld,2021-05-06,3,0,8123
"Cutting Edge Steel, Inc. ",2021-05-31,Weld,2021-05-06,7,0,8123
Nature's Herbs and Wellness: April 2021,2021-05-30,Weld,2021-05-07,8,0,8123
Northern Colorado Auto Reconditioning,2021-06-04,Weld,2021-05-07,3,0,8123
Starbucks - Firestone,2021-06-02,Weld,2021-05-07,4,0,8123
Merritt Aluminum Products,2021-06-04,Weld,2021-05-11,8,0,8123
Weld County Garage Buick GMC,2021-06-10,Weld,2021-05-11,10,0,8123
Windsor Charter Academy Elementary School,2021-06-29,Weld,2021-05-12,15,0,8123
LivWell Enlightened Health Marijuana Dispensary - Garden City,2021-06-03,Weld,2021-05-13,3,0,8123
Garden Square at Westlake (2303C0): May 2021,2021-05-27,Weld,2021-05-14,2,0,8123
Snaptron,2021-06-13,Weld,2021-05-17,3,0,8123
Sun Mountain Custom Doors: April 2021,2021-06-04,Weld,2021-05-24,5,0,8123
AutoZone Auto Parts #804,2021-06-09,Weld,2021-05-26,6,0,8123
Go Wireline,2021-06-13,Weld,2021-05-27,4,0,8123
Let Us Worship Event,2021-06-25,Weld,2021-06-16,6,0,8123
Victory Christian Fellowship,2021-06-25,Weld,2021-06-16,7,0,8123
Columbine Commons Assisted Living (23R659): June 2021,2021-07-12,Weld,2021-06-21,7,0,8123
The Greeley Stampede,2021-07-12,Weld,2021-07-13,25,0,8123
Grace Pointe Continuing Care Senior Campus - Skilled Nursing (02D975): July 2021,2021-08-24,Weld,2021-07-31,3,0,8123
Kenton Manor (020321): July 2021,2021-08-24,Weld,2021-08-02,6,0,8123
Ray Domenico Farms,2021-09-01,Weld,2021-08-02,16,0,8123
JBS Corporate: July 2021,2023-01-10,Weld,2021-08-05,464,0,8123
Ashley Manor - Evans 3 (2303AM): August 2021,2021-12-07,Weld,2021-08-06,4,0,8123
Bridge Assisted Living At Life Care Ctr Of Greeley (23036H): August 2021,2021-08-26,Weld,2021-08-13,2,0,8123
Good Samaritan Society - Bonell Community (020356): August 2021,2021-08-27,Weld,2021-08-13,2,0,8123
Brookdale Greeley (2303B5): August 2021,2021-09-21,Weld,2021-08-17,16,4,8123
Greeley Place Independent Living,2021-11-30,Weld,2021-08-17,18,0,8123
"The Center at Centerplace, LLC (02Z779): August 2021",2021-09-17,Weld,2021-08-23,2,0,8123
Windsor Healthcare Center (020332): August 2021,2021-09-08,Weld,2021-08-23,2,0,8123
Healthcare Workforce Logistics - Greeley,2021-09-24,Weld,2021-08-27,7,0,8123
Ashley Manor - Evans 1 (2303Y3),2021-12-07,Weld,2021-08-31,9,1,8123
Life Care Center of Greeley (0203TL): August 2021,2021-10-28,Weld,2021-08-31,42,6,8123
Grandview Elementary School,2021-11-15,Weld,2021-09-02,39,0,8123
Jefferson High School,2022-02-21,Weld,2021-09-02,52,0,8123
Norfolk Iron and Metal,2021-09-29,Weld,2021-09-02,7,0,8123
Northridge High School,2022-04-02,Weld,2021-09-10,176,0,8123
MeadowView of Greeley (23N615): September 2021,2021-09-30,Weld,2021-09-14,4,0,8123
Aspen Ridge Preparatory School,2022-04-05,Weld,2021-09-17,76,0,8123
Frederick High School,2022-01-03,Weld,2021-09-17,83,0,8123
University of Northern Colorado Football Team: September 2021,2021-11-14,Weld,2021-09-17,19,0,8123
University Schools,2022-04-22,Weld,2021-09-17,455,0,8123
The Aladdin at Keenesburg (2303VE),2021-10-21,Weld,2021-09-20,3,0,8123
Centennial Health Care Center (020317): September 2021,2021-11-11,Weld,2021-09-21,11,1,8123
Frontier Academy Secondary School: August 2021,2022-03-29,Weld,2021-09-21,135,0,8123
Garden Square at Westlake (2303C0): September 2021,2021-10-14,Weld,2021-09-21,2,0,8123
Greeley West High School: August 2021,2022-03-21,Weld,2021-09-21,237,0,8123
