Setting name,Date Resolved,County,Date Reported,Total cases,Total deaths,fips
Rocky Mountain Spice Company: June 2020,2020-08-04,Denver,2020-07-13,4,0,8031
Floyd's 99 Barbershop- Denver,2020-08-26,Denver,2020-07-14,6,0,8031
Nativ Hotel,2020-07-25,Denver,2020-07-14,3,0,8031
People Experiencing Homelessness  (Denver),2021-07-10,Denver,2020-07-14,407,0,8031
Sandstone Care,2020-07-30,Denver,2020-07-14,3,0,8031
Swire Coca Cola - York St.,2020-09-04,Denver,2020-07-15,5,0,8031
All Copy Products,2020-08-17,Denver,2020-07-20,20,0,8031
Consulate of Mexico,2020-08-27,Denver,2020-07-20,3,0,8031
Sygma Trucking,2020-08-03,Denver,2020-07-31,2,0,8031
The Heights Church,2020-08-11,Denver,2020-07-31,5,0,8031
McDonald's- Denver (Washington St),2020-08-19,Denver,2020-08-04,5,0,8031
The Metro Apartments ,2020-08-12,Denver,2020-08-04,4,0,8031
Denver Metro Village,2020-08-27,Denver,2020-08-07,4,1,8031
Mezcal,2020-08-19,Denver,2020-08-12,3,0,8031
Denver International Airport / United Ramp Services,2021-04-27,Denver,2020-08-18,97,0,8031
KDVR KWGN,2020-08-31,Denver,2020-08-18,3,0,8031
Navajo Incorporated Handy Solutions,2020-08-16,Denver,2020-08-18,23,0,8031
Vision En Movimiento,2020-09-14,Denver,2020-08-20,13,0,8031
Ainsworth Trailer Repair,2020-09-15,Denver,2020-08-25,4,0,8031
West of Surrender,2020-09-22,Denver,2020-08-25,5,0,8031
Bull and Davies Office,2020-09-18,Denver,2020-09-01,4,0,8031
Whole Foods Market - Tamarac: September 2020,2020-09-18,Denver,2020-09-01,5,0,8031
Metropolitan State University - General Athletics,2020-11-24,Denver,2020-09-03,8,0,8031
Superior Farms,2020-10-14,Denver,2020-09-03,17,0,8031
Primrose School at Lowry: September 2020,2020-10-29,Denver,2020-09-08,5,0,8031
Regis University 2020-2021 School Year,2021-05-18,Denver,2020-09-09,173,0,8031
Independence House - Pecos: September 2020,2020-10-08,Denver,2020-09-10,8,0,8031
Denver North Care Center (020444): September 2020,2020-10-13,Denver,2020-09-15,4,0,8031
University of Denver - Gymnastics Team,2020-10-08,Denver,2020-09-15,3,0,8031
Denver Public Schools - Collegiate Prep Academy: September 2020,2020-10-14,Denver,2020-09-17,4,0,8031
Kaiser Permanente Colorado Franklin Eye Care,2021-03-04,Denver,2020-09-17,36,0,8031
Denver International Airport / United Airlines - Move Team,2020-11-03,Denver,2020-09-22,20,0,8031
Rocky Mountain Prep Southwest: September 2020,2020-11-06,Denver,2020-09-22,2,0,8031
Kavod Senior Life (230445): September 2020,2020-11-06,Denver,2020-09-28,20,1,8031
Metropolitan State University - Social Gathering,2020-10-15,Denver,2020-09-29,4,0,8031
Mullen High School: October 2020,2020-12-02,Denver,2020-10-01,11,0,8031
Martin School of Early Education,2020-11-19,Denver,2020-10-02,10,0,8031
Gloria Hair Design,2020-10-20,Denver,2020-10-05,3,0,8031
McGregor Square Worksite,2021-03-08,Denver,2020-10-05,112,0,8031
The Goddard School Stapleton,2020-12-30,Denver,2020-10-05,11,0,8031
Dateline Art Studio,2020-10-20,Denver,2020-10-06,2,0,8031
King Soopers #1,2021-02-17,Denver,2020-10-06,11,0,8031
Martin School of Early Education II,2020-11-19,Denver,2020-10-06,3,0,8031
Mile High Frozen Foods,2021-01-26,Denver,2020-10-06,55,0,8031
Specialty Plating,2020-11-02,Denver,2020-10-08,6,0,8031
180 Ministries ,2020-11-03,Denver,2020-10-09,2,0,8031
Sagewater,2020-11-03,Denver,2020-10-09,2,0,8031
Independence House - S. Federal,2020-12-08,Denver,2020-10-12,24,1,8031
Peer 1 - Gratitude House,2020-11-24,Denver,2020-10-12,12,0,8031
Denver Public Schools - Hilltop Terminal,2020-12-28,Denver,2020-10-13,10,0,8031
Graland Country Day School: October 2020,2020-11-03,Denver,2020-10-13,6,0,8031
Laradon,2020-11-18,Denver,2020-10-13,3,0,8031
University of Denver Community Outbreak 2020-2021 School Year,2021-06-01,Denver,2020-10-13,1034,0,8031
Gates Corporation,2021-01-13,Denver,2020-10-14,7,0,8031
Little White Dress Bridal Shop,2020-10-14,Denver,2020-10-14,3,0,8031
St. Anne's Episcopal School: October 2020,2020-12-16,Denver,2020-10-14,6,0,8031
Little Einstein's Academy,2020-11-19,Denver,2020-10-15,3,0,8031
Maxwell Elementary School - Early Childhood Education,2020-11-23,Denver,2020-10-15,3,0,8031
Rocky Mountain Spice Company: October 2020,2021-01-08,Denver,2020-10-15,13,0,8031
Ardent Mills,2020-11-14,Denver,2020-10-16,10,0,8031
Interstate Warehousing- E. 51st Ave: October 2020,2021-02-02,Denver,2020-10-16,33,1,8031
John H. Amesse Elementary - Early Childhood Education,2020-12-07,Denver,2020-10-17,2,0,8031
Arc'teryx,2020-11-02,Denver,2020-10-20,3,0,8031
College View Elementary - Early Childhood Education,2020-11-10,Denver,2020-10-20,2,0,8031
Colorado Credit Union,2020-10-27,Denver,2020-10-20,2,0,8031
Discovery Link at Fairmont - Early Childhood Education,2020-11-10,Denver,2020-10-20,2,0,8031
Peer 1 - Light House,2020-12-03,Denver,2020-10-20,6,0,8031
Piatti,2020-12-11,Denver,2020-10-20,4,0,8031
Quickbox,2021-01-25,Denver,2020-10-20,24,0,8031
W.T. Shorty's Sports Grill,2020-11-12,Denver,2020-10-20,3,0,8031
Hyde Park Jewelers,2020-11-03,Denver,2020-10-21,3,0,8031
University Prep - Steel Street,2020-12-10,Denver,2020-10-21,4,0,8031
Whole Foods Market - Tamarac: October 2020,2021-03-20,Denver,2020-10-21,25,0,8031
Cilantro-Denver,2020-11-09,Denver,2020-10-22,11,0,8031
Goodwill- Denver,2020-11-05,Denver,2020-10-22,5,0,8031
Lex Apartments,2020-10-21,Denver,2020-10-22,4,0,8031
RTD - Public facility (31st st),2020-10-28,Denver,2020-10-22,2,0,8031
RTD - Ringsby Ct,2021-05-29,Denver,2020-10-22,45,0,8031
Tavernetta / Sunday Vinyl,2020-12-02,Denver,2020-10-22,4,0,8031
Volunteers of America Early Childhood Education Center,2021-02-03,Denver,2020-10-22,21,0,8031
Acacia Learning Center: October 2020,2020-12-30,Denver,2020-10-23,17,1,8031
Brookdale Parkplace (2304A2): October 2020,2021-02-10,Denver,2020-10-23,29,6,8031
Monaco Parkway Health and Rehabilitation Center (020497): October 2020,2021-01-25,Denver,2020-10-23,66,9,8031
Natty Rems LLC,2020-12-09,Denver,2020-10-23,11,0,8031
Porter Adventist Hospital - Cardiac Cath Lab Staff,2020-11-19,Denver,2020-10-23,5,0,8031
Porter Adventist Hospital - Operating Room Staff,2020-12-04,Denver,2020-10-23,7,0,8031
Spartan Reinforcing,2020-12-09,Denver,2020-10-23,4,0,8031
Third Way - York Facility: October 2020,2021-01-12,Denver,2020-10-23,10,0,8031
Westerly Creek Elementary School: October 2020,2020-11-30,Denver,2020-10-23,3,0,8031
Argonaut Wine and Liquor,2020-12-10,Denver,2020-10-26,3,0,8031
Beacon House: October 2020,2020-11-30,Denver,2020-10-26,3,0,8031
Brookdale Pinehurst Park (2304CA): November 2020,2021-01-29,Denver,2020-10-26,31,5,8031
Colorado Allergy and Asthma Centers,2020-11-22,Denver,2020-10-26,2,0,8031
Peer 1 - Dedication House: October 2020,2020-12-30,Denver,2020-10-26,13,0,8031
Prime Window Systems,2021-01-06,Denver,2020-10-26,26,0,8031
Clay Dean Electric,2020-11-10,Denver,2020-10-27,2,0,8031
Cowell Elementary School: October 2020,2020-11-19,Denver,2020-10-27,2,0,8031
Denver International Airport / Maintenance Center,2021-03-17,Denver,2020-10-27,106,0,8031
Laradon Adult Day Program: October 2020,2020-11-16,Denver,2020-10-27,4,0,8031
Maxwell Elementary School: October 2020,2020-11-23,Denver,2020-10-27,2,0,8031
Montessori Children's House of Denver- Stapleton,2020-12-30,Denver,2020-10-27,5,0,8031
Rocky Mountain Prep Creekside,2020-11-20,Denver,2020-10-27,2,0,8031
The Home Depot #1520,2021-01-13,Denver,2020-10-27,14,0,8031
Tower Electric - Santa Fe Flats,2020-12-28,Denver,2020-10-27,7,0,8031
"Center at Lowry, LLC (02G500): October 2020",2021-01-08,Denver,2020-10-28,22,1,8031
Home Daycare #1 - Denver,2020-12-02,Denver,2020-10-28,2,0,8031
Mountain View Child Care Center,2020-11-23,Denver,2020-10-28,6,0,8031
Cherry Creek Grill,2020-12-16,Denver,2020-10-29,9,0,8031
Denver County Jail: October 2020,2021-03-11,Denver,2020-10-29,77,0,8031
King Soopers Bakery: October 2020,2020-11-13,Denver,2020-10-29,2,0,8031
Lakin Tire LLC,2020-11-24,Denver,2020-10-29,7,0,8031
Monarch Montessori of Denver: October 2020,2020-11-24,Denver,2020-10-29,2,0,8031
Protecto Wrap,2020-12-31,Denver,2020-10-29,9,0,8031
Sprouts Farmers Market - Central Park Ave #334,2020-12-22,Denver,2020-10-29,5,0,8031
What Chefs Want,2021-01-28,Denver,2020-10-29,7,0,8031
Florence Crittenton Early Childhood Education Center,2020-11-23,Denver,2020-10-30,3,0,8031
Porter Place (2304E7): October 2020,2021-02-02,Denver,2020-10-30,47,3,8031
Steuben's Uptown: October 2020,2020-12-22,Denver,2020-10-30,11,0,8031
Swansea Elementary School - Early Childhood Education,2020-12-04,Denver,2020-10-30,5,0,8031
Auraria Early Learning Center,2020-12-17,Denver,2020-11-02,5,0,8031
Bruce Randolph School: November 2020,2020-12-01,Denver,2020-11-02,2,0,8031
Children's Haven Child Care Center,2021-01-15,Denver,2020-11-02,31,0,8031
IHOP- Denver,2020-11-07,Denver,2020-11-02,2,0,8031
McDonald's- Denver (Colorado Blvd),2020-11-17,Denver,2020-11-02,4,0,8031
The Haven: October 2020,2020-12-11,Denver,2020-11-02,17,0,8031
Whole Foods Market - Cherry Creek: October 2020,2021-02-01,Denver,2020-11-02,19,0,8031
Independence House - Pecos: November 2020,2020-12-22,Denver,2020-11-03,7,1,8031
Knapp Elementary School: November 2020,2020-12-08,Denver,2020-11-03,3,0,8031
Kunsmiller Creative Arts Academy: November 2020,2020-11-30,Denver,2020-11-03,2,0,8031
Native Rank,2020-11-23,Denver,2020-11-03,4,0,8031
Samuels Elementary School: November 2020,2020-12-02,Denver,2020-11-03,3,0,8031
Swinerton Construction Site - 620 16th st.,2020-12-14,Denver,2020-11-03,14,0,8031
The Elm,2021-01-06,Denver,2020-11-03,2,0,8031
Toro Latin Kitchen & Lounge,2020-12-08,Denver,2020-11-03,4,0,8031
Colorado Spine Specialists ,2021-01-07,Denver,2020-11-04,3,0,8031
Emich Automotive,2020-12-11,Denver,2020-11-04,7,0,8031
National Western Complex,2020-12-10,Denver,2020-11-04,3,0,8031
Sloan's Lake Rehabilitation Center (02Q649): November 2020,2021-01-31,Denver,2020-11-04,38,0,8031
Blooms by Anuschka,2020-12-16,Denver,2020-11-05,2,0,8031
Catamount Inc.,2020-12-03,Denver,2020-11-05,10,0,8031
Escalante-Biggs Academy: November 2020,2020-12-03,Denver,2020-11-05,5,0,8031
ESS Metron Inc,2021-01-27,Denver,2020-11-05,27,0,8031
His Love Fellowship Church ,2020-11-24,Denver,2020-11-05,6,0,8031
Holly Heights Care Center (020412): November 2020,2021-02-09,Denver,2020-11-05,18,3,8031
Image Projections West,2021-01-06,Denver,2020-11-05,8,0,8031
Porter Adventist Hospital - Pre-Op Staff,2020-12-16,Denver,2020-11-05,5,0,8031
Urban Peak: October 2020,2021-02-16,Denver,2020-11-05,19,0,8031
Valdez Elementary School: November 2020,2020-12-16,Denver,2020-11-05,6,0,8031
Farrell B. Howell ECE-8 School: November 2020,2020-12-14,Denver,2020-11-06,6,0,8031
Foodbank of the Rockies,2021-01-06,Denver,2020-11-06,6,0,8031
KIPP Northeast Elementary & Middle School: November 2020,2020-12-18,Denver,2020-11-06,3,0,8031
Peer 1 - Motivation House: November 2020,2020-12-09,Denver,2020-11-06,20,0,8031
Pella Windows and Doors of Colorado,2020-12-23,Denver,2020-11-06,4,0,8031
Pinehurst Country Club,2020-12-17,Denver,2020-11-06,12,0,8031
Postino 9CO,2020-12-08,Denver,2020-11-06,15,0,8031
Premier Family Medicine,2021-01-07,Denver,2020-11-06,4,0,8031
Valverde Elementary School: October 2020,2020-12-15,Denver,2020-11-06,6,0,8031
Wellshire Golf Course,2020-12-10,Denver,2020-11-06,4,0,8031
Barnum Elementary School: November 2020,2020-12-01,Denver,2020-11-09,2,0,8031
Boys & Girls Club PACE Program,2020-12-31,Denver,2020-11-09,3,0,8031
International Academy of Denver at Harrington: October 2020 ,2020-12-18,Denver,2020-11-09,11,0,8031
Marycrest Assisted Living (2304ST): November 2020,2021-02-23,Denver,2020-11-09,43,1,8031
St Paul Health Center (020448): November 2020,2021-02-09,Denver,2020-11-09,60,2,8031
The Weitz Company- 10th & Acoma Construction Project,2020-12-02,Denver,2020-11-09,19,0,8031
Yeshiva Toras Chaim,2021-01-06,Denver,2020-11-09,49,0,8031
Autumn Heights Health Care Center (020405): October 2020,2021-03-02,Denver,2020-11-10,109,8,8031
Colonnade Early Learning,2020-12-16,Denver,2020-11-10,4,0,8031
Rosemark at Mayfair Park (23E998): November 2020,2021-03-11,Denver,2020-11-10,35,2,8031
True Value Distribution Center,2020-12-14,Denver,2020-11-10,16,0,8031
CACI Denver Tech Center ,2020-12-16,Denver,2020-11-11,8,0,8031
"Colorado Management Holdings, Inc",2020-12-16,Denver,2020-11-11,3,0,8031
DaVita- Denver (Chambers Rd),2020-12-10,Denver,2020-11-11,8,0,8031
Denver Country Club ,2020-12-16,Denver,2020-11-11,10,0,8031
Denver Public Library,2020-12-21,Denver,2020-11-11,5,0,8031
DTC Surgery Center,2020-12-29,Denver,2020-11-11,5,0,8031
Target- Northfield Blvd,2021-02-09,Denver,2020-11-11,14,0,8031
Udi's Bakery Boulder Brands- Conagra: November 2020,2021-01-13,Denver,2020-11-11,24,0,8031
Western Specialty Contractors,2020-12-30,Denver,2020-11-11,5,0,8031
Fourpoints Bar,2020-11-30,Denver,2020-11-12,3,0,8031
Jewell Care Center of Denver (020416): November 2020,2021-01-19,Denver,2020-11-12,15,0,8031
Pepsi Beverages Company: November 2020,2021-01-31,Denver,2020-11-12,21,0,8031
Rose Surgical Center ,2020-12-11,Denver,2020-11-12,4,0,8031
Sabin World School: November 2020,2020-12-18,Denver,2020-11-12,9,0,8031
Zion Lutheran School,2020-11-03,Denver,2020-11-12,2,0,8031
Academia Ana Marie Sandoval: November 2020,2020-12-23,Denver,2020-11-13,3,0,8031
"California Expanded Metal Products ""CEMCO Steel"": November 2020",2021-01-07,Denver,2020-11-13,9,0,8031
Denver Child Care Academy,2020-12-10,Denver,2020-11-13,3,0,8031
Green Valley Elementary School: November 2020,2020-12-16,Denver,2020-11-13,2,0,8031
Gust Elementary School: November 2020,2020-12-15,Denver,2020-11-13,7,0,8031
Highlands Academy: November 2020,2020-12-30,Denver,2020-11-13,4,0,8031
Old Castle Building Envelope ,2020-12-22,Denver,2020-11-13,24,0,8031
TenderCare Assisted Living at Pinehurst (23Z784),2020-12-15,Denver,2020-11-13,6,0,8031
The Denver Athletic Club Children's Center: November 2020,2021-01-13,Denver,2020-11-13,8,0,8031
Whole Foods Market - Washington Park: November 2020,2021-01-08,Denver,2020-11-13,5,0,8031
Carmel Construction - Drive Train Site: November 2020,2021-01-07,Denver,2020-11-14,16,0,8031
DSST: Green Valley Ranch High School: November 2020,2020-12-16,Denver,2020-11-14,2,0,8031
Hallmark Nursing Center (020453): November 2020,2021-02-08,Denver,2020-11-14,84,14,8031
Montessori Academy of Colorado: November 2020,2021-01-11,Denver,2020-11-14,4,0,8031
City o City ,2020-12-22,Denver,2020-11-16,9,0,8031
Ellis Elementary School: November 2020,2020-12-11,Denver,2020-11-16,5,0,8031
Most Precious Blood Preschool,2020-12-08,Denver,2020-11-16,3,0,8031
Nestle Purina Pet Care: November 2020,2021-02-09,Denver,2020-11-16,53,0,8031
Children's Garden Montessori,2020-12-17,Denver,2020-11-17,3,0,8031
Edison Elementary School: November 2020,2020-12-16,Denver,2020-11-17,5,0,8031
Highland Tavern ,2020-12-10,Denver,2020-11-17,5,0,8031
Park Tavern,2020-12-16,Denver,2020-11-17,6,0,8031
Schmitt Elementary School: November 2020,2020-12-17,Denver,2020-11-17,3,0,8031
St. Vincent de Paul Catholic School: November 2020,2020-12-17,Denver,2020-11-17,4,0,8031
Texas Roadhouse- Denver,2021-02-01,Denver,2020-11-17,8,0,8031
The Urology Center of Colorado,2021-01-26,Denver,2020-11-17,17,0,8031
Catholic Charities Kentucky Head Start,2020-12-15,Denver,2020-11-18,4,0,8031
Chubby's Original,2020-12-07,Denver,2020-11-18,4,0,8031
CU Sheridan Health Services,2020-12-18,Denver,2020-11-18,6,0,8031
Embassy Suites by Hilton - Denver,2020-12-16,Denver,2020-11-18,7,0,8031
J.E. Dunn General Contractor: University of Colorado Denver First Year Student Housing Job Site,2021-02-11,Denver,2020-11-18,6,0,8031
Johnson Elementary School- Denver,2020-12-16,Denver,2020-11-18,2,0,8031
Kavod Senior Life Independent Living,2021-04-07,Denver,2020-11-18,38,0,8031
Marie L. Greenwood Academy,2020-12-16,Denver,2020-11-18,2,0,8031
McAuliffe International School: November 2020,2020-12-10,Denver,2020-11-18,6,0,8031
McGlone Academy: November 2020,2020-12-15,Denver,2020-11-18,2,0,8031
North High School: November 2020,2020-12-10,Denver,2020-11-18,4,0,8031
Salvation Army - Headquarters,2020-12-21,Denver,2020-11-18,5,0,8031
Sheffield Metals,2020-10-22,Denver,2020-11-18,5,0,8031
Urban Farmer,2020-12-23,Denver,2020-11-18,6,0,8031
Wendy's- Denver,2021-02-09,Denver,2020-11-18,7,0,8031
Bishop Machebeuf Catholic High School: November 2020,2020-12-11,Denver,2020-11-19,2,0,8031
Bison Innovative Products,2020-12-16,Denver,2020-11-19,5,0,8031
Habitat for Humanity ReStore- Denver,2020-12-30,Denver,2020-11-19,4,0,8031
International School of Denver: November 2020,2020-12-18,Denver,2020-11-19,3,0,8031
Montbello High/Middle School,2020-12-31,Denver,2020-11-19,5,0,8031
The Crossing - Denver Rescue Mission,2021-01-12,Denver,2020-11-19,20,0,8031
Worldmind Nature Immersion School,2021-01-03,Denver,2020-11-19,3,0,8031
Buckhorn Exchange ,2020-12-07,Denver,2020-11-20,6,0,8031
CoreCivic- Ulster Facility,2020-11-20,Denver,2020-11-20,3,0,8031
Denver Green School Southeast: November 2020,2020-12-17,Denver,2020-11-20,4,0,8031
King Soopers #7,2021-01-26,Denver,2020-11-20,6,0,8031
Oceanside Ten Management Market Research,2020-12-07,Denver,2020-11-20,3,0,8031
Partners in Women's Health,2020-12-29,Denver,2020-11-20,3,0,8031
Porter Adventist Hospital - CT / Radiology Department,2020-12-23,Denver,2020-11-20,3,0,8031
Porter Adventist Hospital - Outpatient Pharmacy,2020-12-16,Denver,2020-11-20,2,0,8031
"Rampart Supply, Inc.: November 2020",2021-01-21,Denver,2020-11-20,9,0,8031
Tire Distributor Xperts (TDX),2020-12-22,Denver,2020-11-20,7,0,8031
Trader Joe's #302: November 2020,2020-12-21,Denver,2020-11-20,4,0,8031
Walmart #3533,2021-01-30,Denver,2020-11-20,39,0,8031
American Produce,2021-01-07,Denver,2020-11-23,22,1,8031
CCD Roslyn Center,2021-01-28,Denver,2020-11-23,13,0,8031
Core Civic- Fox Facility,2021-02-02,Denver,2020-11-23,9,0,8031
Little Sisters of the Poor- Mullen Home (020442): November 2020,2021-02-04,Denver,2020-11-23,10,0,8031
CoreCivic- Dahlia Facility,2021-01-20,Denver,2020-11-24,6,0,8031
First American Title Insurance CO,2020-12-21,Denver,2020-11-24,6,0,8031
Harvard Square Retirement Community (230428): November 2020,2020-12-31,Denver,2020-11-24,10,0,8031
Fire on the Mountain,2021-02-09,Denver,2020-11-25,9,0,8031
Juniper Village - The Spearly Center (020424): November 2020,2021-01-05,Denver,2020-11-25,14,0,8031
Milender White-DMV Construction Site,2020-12-23,Denver,2020-11-25,8,0,8031
Nordstrom at Cherry Creek: November 2020,2021-01-08,Denver,2020-11-25,8,0,8031
North Star Rehabilitation and Care Community (020413): November 2020,2021-01-31,Denver,2020-11-25,92,5,8031
Parks and Recreation-Wash Park HQ,2020-12-21,Denver,2020-11-25,5,0,8031
St. Joseph Hospital - Environmental Services Department,2020-12-18,Denver,2020-11-25,15,0,8031
Steck Elementary School,2020-12-21,Denver,2020-11-25,7,0,8031
Mile High Thrift Store- Denver,2021-01-20,Denver,2020-11-27,8,0,8031
Wright & McGill Co/Eagle Claw Fishing Tackle,2021-02-25,Denver,2020-11-27,18,0,8031
Anna Jo Garcia Haynes Early Learning Center,2020-12-31,Denver,2020-11-30,4,0,8031
Brookshire House Rehabilitation and Care Community (020403): November 2020,2021-02-05,Denver,2020-11-30,10,0,8031
Christ in the City: November 2020,2021-02-16,Denver,2020-11-30,10,0,8031
Gardens at St Elizabeth (230426): November 2020,2021-01-25,Denver,2020-11-30,25,0,8031
New Genesis Transitional Living Shelter: November 2020,2021-02-22,Denver,2020-11-30,36,0,8031
Congregation Rodef Shalom Preschool,2020-12-30,Denver,2020-12-01,13,0,8031
Domino's Pizza - Denver,2020-12-23,Denver,2020-12-01,5,0,8031
Montessori School of Denver Child Care,2020-12-22,Denver,2020-12-01,2,0,8031
Rocky Mountain Pediatric Surgery,2021-01-05,Denver,2020-12-01,4,0,8031
Walmart #5676,2021-02-17,Denver,2020-12-01,13,0,8031
Blessed Sacrament Parish School,2021-01-12,Denver,2020-12-02,10,0,8031
Catholic Charities ECE Programs at Mariposa,2021-01-04,Denver,2020-12-02,2,0,8031
Mile High Early Learning at Westwood,2021-01-11,Denver,2020-12-02,3,0,8031
One Fold,2020-12-07,Denver,2020-12-02,4,0,8031
PAM Specialty Hospital of Denver,2021-01-05,Denver,2020-12-02,24,0,8031
Prestige Preschool Academy ,2021-01-11,Denver,2020-12-02,4,0,8031
Monarch Manor (230472): November 2020,2020-12-25,Denver,2020-12-03,2,0,8031
Dish Network Distribution Center,2020-12-29,Denver,2020-12-04,6,0,8031
Federal Bar & Grill,2020-12-04,Denver,2020-12-04,4,0,8031
"FMH Material Handling Solutions, Inc.",2021-01-05,Denver,2020-12-04,7,0,8031
FormTight Inc.,2020-12-30,Denver,2020-12-04,8,0,8031
Grant Ranch EC-8 School: December 2020,2020-12-24,Denver,2020-12-04,7,0,8031
Herbs and Arts,2020-12-30,Denver,2020-12-04,4,0,8031
"TenderCare Assisted Living, LLC (23K988): December 2020",2021-02-02,Denver,2020-12-04,10,0,8031
Universal Lending Co,2020-12-30,Denver,2020-12-04,5,0,8031
ACME Manufacturing,2021-01-05,Denver,2020-12-07,31,0,8031
Burger King #23802,2020-12-17,Denver,2020-12-07,4,0,8031
Family Star Montessori School - Northeast: December 2020,2021-01-31,Denver,2020-12-07,4,0,8031
Laradon Adult Day Program: December 2020,2021-01-05,Denver,2020-12-07,3,0,8031
Little Explorers Preschool: December 2020,2021-01-05,Denver,2020-12-07,2,0,8031
Tender Touch Animal Hospital: November 2020,2021-01-06,Denver,2020-12-07,6,0,8031
The Argyle (230464): December 2020,2020-12-31,Denver,2020-12-07,26,1,8031
Saint Francis de Sales,2021-01-07,Denver,2020-12-08,4,0,8031
The Lennox Guest Home (230425): December 2020,2020-12-23,Denver,2020-12-08,11,0,8031
EVO: December 2020,2020-12-30,Denver,2020-12-09,9,0,8031
The Goddard School- Highlands: December 2020,2021-01-28,Denver,2020-12-09,2,0,8031
Austin Hardwoods,2021-01-29,Denver,2020-12-10,9,0,8031
Bradsby Group,2021-01-21,Denver,2020-12-10,9,0,8031
Green Dragon - Denver,2021-01-12,Denver,2020-12-10,5,0,8031
Kӓrcher USA headquarters,2021-01-07,Denver,2020-12-10,9,0,8031
Sysco Denver,2021-06-21,Denver,2020-12-10,51,0,8031
Costco Wholesale #443,2021-02-02,Denver,2020-12-11,10,0,8031
Sunrise at Pinehurst (23049U): November 2020,2021-02-09,Denver,2020-12-11,43,6,8031
The Goddard School- Denver,2021-01-08,Denver,2020-12-11,6,0,8031
Graland Country Day School: December 2020,2021-01-08,Denver,2020-12-14,2,0,8031
The Bridge Community Inc (050403): December 2020,2021-01-05,Denver,2020-12-14,11,0,8031
Berkley Manor Care Center (020419): December 2020,2021-02-03,Denver,2020-12-15,29,0,8031
Costco Wholesale #650,2021-01-31,Denver,2020-12-15,3,0,8031
The Barth Hotel (230477): December 2020,2021-01-13,Denver,2020-12-15,9,0,8031
Dayspring Villa (2304IX): December 2020,2021-02-01,Denver,2020-12-16,6,0,8031
Office Depot- Denver: December 2020,2021-01-27,Denver,2020-12-16,17,0,8031
Raquel's Rascals,2021-01-07,Denver,2020-12-16,2,0,8031
Springbrooke Retirement and Assisted Living (2304I0): December 2020 ,2021-03-10,Denver,2020-12-16,29,3,8031
Uptown Health Care Center (020452): December 2020,2021-02-03,Denver,2020-12-16,22,0,8031
Next Level Tactical,2021-01-11,Denver,2020-12-17,13,0,8031
Professional Restoration,2021-03-04,Denver,2020-12-17,14,0,8031
Sprouts Farmers Market - 38th Ave #314,2021-01-08,Denver,2020-12-17,10,0,8031
Sprouts Farmers Market - S. Colorado Blvd #315,2021-01-08,Denver,2020-12-17,7,0,8031
"Fox Rent-a-Car, Inc.",2021-01-12,Denver,2020-12-18,2,0,8031
GM Peoria LLC d/b/a Golden Meds,2021-01-20,Denver,2020-12-18,3,0,8031
NinaBees Early Learning Center,2021-01-20,Denver,2020-12-18,2,0,8031
Paddington Station Preschool: December 2020,2021-01-14,Denver,2020-12-18,3,0,8031
The Crossing Apartment Homes,2021-01-12,Denver,2020-12-18,5,0,8031
Total Quality Logistics: December 2020,2021-01-20,Denver,2020-12-18,5,0,8031
Manorcare Health Services - Denver (020476): December 2020,2021-02-17,Denver,2020-12-21,28,0,8031
Smalley And Company,2021-01-12,Denver,2020-12-21,11,0,8031
Crate and Barrel,2020-12-22,Denver,2020-12-22,4,0,8031
FNG,2021-01-11,Denver,2020-12-22,3,0,8031
RTD 711 Telephone Info Center,2021-01-17,Denver,2020-12-22,17,0,8031
St. Joseph Hospital - Women's Care,2021-02-22,Denver,2020-12-22,11,0,8031
Phoenix Concept,2021-01-25,Denver,2020-12-23,2,0,8031
St. John's Church and School: December 2020,2021-02-25,Denver,2020-12-23,13,0,8031
Sprouts Farmers Market - E. Colfax #342,2021-01-15,Denver,2020-12-29,3,0,8031
Beacon House: December 2020,2021-02-01,Denver,2020-12-30,4,0,8031
Briarwood Health Care Center (020470): December 2020,2021-02-02,Denver,2020-12-30,23,0,8031
Clermont Park Assisted Living (230463): December 2020,2021-02-18,Denver,2020-12-30,10,0,8031
Denver CARES: October 2020,2021-03-16,Denver,2020-12-30,10,0,8031
Elder Automotive,2020-12-31,Denver,2020-12-30,7,0,8031
Emich Volkswagen,2021-01-25,Denver,2020-12-30,9,0,8031
Mighty Tree,2021-01-11,Denver,2020-12-30,3,0,8031
Rabbi Steven Foster ELC: December 2020,2021-01-27,Denver,2020-12-31,4,0,8031
Stinker Store CO #313,2021-01-20,Denver,2020-12-31,3,0,8031
Sunrise at Cherry Creek (2304OU): December 2020,2021-02-24,Denver,2020-12-31,9,0,8031
Ready Foods Bean Plant,2021-01-11,Denver,2021-01-04,7,0,8031
ARCO/Murray Construction- 3000 N Inca St Construction Site,2021-01-12,Denver,2021-01-05,9,0,8031
Department of Transportation and Infrastructure- Solid Waste Management,2021-02-04,Denver,2021-01-05,29,0,8031
Department of Transportation and Infrastructure- Wastewater Management ,2021-01-25,Denver,2021-01-05,11,0,8031
Interstate Warehousing-  S. Tejon St.,2021-01-28,Denver,2021-01-05,11,0,8031
Meow Wolf Construction Site,2021-02-22,Denver,2021-01-05,38,0,8031
RTD Navajo Facility,2021-02-02,Denver,2021-01-05,3,0,8031
