Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Mortgage Fort Collins,Resolved,5/24/2021,Office/Indoor Workspace,,,Larimer,4/30/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaria Inc,Resolved,5/2/2021,Healthcare - Outpatient,Home Health Agency Administrative Office,Yes,Jefferson,4/6/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Golden Ridge (02V720): April 2020,Resolved,6/16/2020,Healthcare - Skilled Nursing,,Yes,Jefferson,4/11/2020,24,5,,6,,,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Golden Ridge (02V720): April 2021,Resolved,5/14/2021,Healthcare - Skilled Nursing,,Yes,Jefferson,4/28/2021,2,3,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Golden Ridge (02V720): January 2021,Resolved,3/5/2021,Healthcare - Skilled Nursing,,Yes,Jefferson,2/1/2021,32,12,,,,,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Golden Ridge (02V720): November 2020,Resolved,12/15/2020,Healthcare - Skilled Nursing,,Yes,Jefferson,11/23/2020,16,27,,,,,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Longmont (02V342): February 2021,Resolved,3/16/2021,Healthcare - Skilled Nursing,,Yes,Boulder,2/19/2021,1,2,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Longmont (02V342): May 2021,Resolved,6/21/2021,Healthcare - Skilled Nursing,,Yes,Boulder,5/4/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel at Longmont (02V342): November 2020,Resolved,1/29/2021,Healthcare - Skilled Nursing,,Yes,Boulder,11/18/2020,17,28,,2,,,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accent on Flowers,Resolved,6/6/2021,Retailer,florist,,Alamosa,5/18/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Fab and Finish,Resolved,3/31/2021,Non-Food Manufacturer/Warehouse,,,Weld,3/11/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Hardware Retail Support Center: April 2021,Resolved,7/15/2021,Distribution Center/Business,,,El Paso,4/8/2021,,28,,,,,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Hardware Retail Support Center: February 2021,Resolved,3/20/2021,Distribution Center/Business,,,El Paso,2/5/2021,,10,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Hardware Retail Support Center: October 2020,Resolved,12/9/2020,Distribution Center/Business,Retail Support Center,,El Paso,10/30/2020,,13,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Hardware- Gypsum,Resolved,4/1/2021,Retailer,,,Eagle,3/9/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Hardware- Westcliffe,Resolved,9/8/2020,Retailer,,,Custer,7/25/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achieve Whole Recovery,Resolved,9/16/2020,Healthcare - Alcohol/Drug Abuse Treatment (outpatient),Outpatient Medication Assisted Treatment Center,Yes,El Paso,9/1/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME Manufacturing,Resolved,1/5/2021,Non-Food Manufacturer/Warehouse,,,Denver,12/7/2020,,31,,,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Industries,Resolved,6/12/2021,Non-Food Manufacturer/Warehouse,,,Jefferson,5/25/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Learners Academy ,Resolved,2/8/2021,Child Care Center,,Yes,Arapahoe,2/4/2021,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActivStyle,Resolved,6/7/2021,Distribution Center/Business,Medical Supply Company,,Mesa,5/16/2021,,7,1,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams City High School,Resolved,5/17/2021,School K-12,,Yes,Adams,5/5/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County Animal Hospital,Resolved,12/8/2020,Other,Veterinary Clinic,,Adams,10/21/2020,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
