Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latcon Corporation,Resolved,1/12/2021,Construction Company/Contractor,,,Pueblo,11/24/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Elementary School,Resolved,6/7/2021,School K-12,,Yes,Larimer,4/19/2021,,1,7,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurel Manor Care Center, Inc (020527): August 2020",Resolved,10/6/2020,Healthcare - Skilled Nursing,,Yes,El Paso,8/28/2020,19,14,,,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurel Manor Care Center, Inc (020527): March 2020",Resolved,8/17/2020,Healthcare - Skilled Nursing,,Yes,El Paso,3/19/2020,40,46,,14,,,86,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazy Dog Johnstown LLC,Resolved,3/14/2021,Bar/Tavern/Brewery,,,Larimer,2/19/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCH Learning Center,Resolved,3/22/2021,Child Care Center,,Yes,Jefferson,3/1/2021,,3,2,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Bilboquet,Resolved,5/3/2021,Restaurant - Sit Down,,,Denver,4/27/2021,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn Thru Play Children's Kiddieland,Resolved,7/28/2020,Child Care Center,,Yes,Otero,5/28/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Pod- Boulder,Resolved,2/1/2021,School K-12,,Yes,Boulder,1/2/2021,,2,4,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Tree,Resolved,6/2/2021,Child Care Center,,Yes,Mesa,4/22/2021,,3,6,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leawood Assisted Living #4 (23Q176),Resolved,7/27/2021,Healthcare - Assisted Living,,Yes,Arapahoe,7/6/2021,6,2,,2,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leawood Elementary School,Resolved,5/23/2021,School K-12,,Yes,Jefferson,4/27/2021,,1,6,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Academy Gymnastics and Ninja,Resolved,8/3/2021,Youth Sports/Activities,Gymnastic Center,,Mesa,6/22/2021,,2,5,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Center Inc. (2306W8),Resolved,1/18/2021,Healthcare - Assisted Living,,Yes,Fremont,12/5/2020,16,14,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy High School,Resolved,3/25/2021,School K-12,,Yes,Broomfield,3/2/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy of Lafayette (230322): April 2021,Resolved,5/17/2021,Healthcare - Assisted Living,,Yes,Boulder,4/20/2021,2,2,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy of Lafayette (230322): July 2021,Resolved,8/16/2021,Healthcare - Assisted Living,,Yes,Boulder,8/3/2021,3,,,2,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Peak Elementary School: November 2020,Resolved,12/15/2020,School K-12,,Yes,El Paso,11/17/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Peak Elementary School: October 2020,Resolved,11/24/2020,School K-12,,Yes,El Paso,10/9/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Properties West Sotheby's International Realty,Resolved,3/4/2021,Office/Indoor Workspace,,,La Plata,2/16/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village of Castle Pines (23O530): February 2021,Resolved,3/2/2021,Healthcare - Assisted Living,,Yes,Douglas,2/19/2021,2,2,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village of Castle Pines (23O530): July 2020,Resolved,8/10/2020,Healthcare - Assisted Living,,Yes,Douglas,7/7/2020,16,14,,7,,,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Village of Castle Pines (23O530): November 2020,Resolved,1/5/2021,Healthcare - Assisted Living,,Yes,Douglas,11/13/2020,22,13,,,,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend Assisted Living & Memory Care of Broomfield (23Z782),Resolved,2/4/2021,Healthcare - Assisted Living,,Yes,Broomfield,12/31/2020,7,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend High School: April 2021,Resolved,5/12/2021,School K-12,,Yes,Douglas,4/22/2021,,,8,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend High School: February 2021,Resolved,2/24/2021,School K-12,,Yes,Douglas,2/2/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend High School: October 2020,Resolved,12/8/2020,School K-12,,Yes,Douglas,10/29/2020,,1,5,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leman Classical Academy- DCSD Charter School,Resolved,12/15/2020,School K-12,,Yes,Douglas,11/10/2020,,,5,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemay Avenue Health & Rehabilitation (020326): April 2020,Resolved,6/2/2020,Healthcare - Skilled Nursing,,Yes,Larimer,4/20/2020,10,11,,1,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemay Avenue Health & Rehabilitation (020326): July 2021,Resolved,7/30/2021,Healthcare - Skilled Nursing,,Yes,Larimer,7/14/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemay Avenue Health & Rehabilitation (020326): March 2021,Resolved,5/10/2021,Healthcare - Skilled Nursing,,Yes,Larimer,3/29/2021,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemay Avenue Health & Rehabilitation (020326): November 2020,Resolved,1/28/2021,Healthcare - Skilled Nursing,,Yes,Larimer,11/13/2020,34,53,,9,,,87,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leprino - Denver,Resolved,5/26/2020,Other,Environmental Laboratory,Yes,Denver,5/5/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leprino Foods - Fort Morgan: April 2020,Resolved,6/6/2020,Food Manufacturing/Packaging,,Yes,Morgan,4/24/2020,,86,,,1,,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leprino Foods - Fort Morgan: December 2020,Resolved,4/6/2021,Food Manufacturing/Packaging,,Yes,Morgan,2/24/2021,,24,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leprino Foods - Greeley,Resolved,,Food Manufacturing/Packaging,,Yes,Weld,4/24/2020,,21,,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leroux Creek Foods,Resolved,10/5/2020,Food Manufacturing/Packaging,,Yes,Delta,9/1/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesher Middle School: April 2021,Resolved,6/22/2021,School K-12,,Yes,Larimer,4/19/2021,,,15,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesher Middle School: November 2020,Resolved,12/31/2020,School K-12,,Yes,Larimer,12/15/2020,,1,8,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let Us Worship Event,Resolved,6/25/2021,Fair/Festival/Temp. Mobile Event,,,Weld,6/16/2021,,,6,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level Engineering and Inspection,Resolved,8/27/2020,Office/Indoor Workspace,,,Larimer,8/10/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Bolt & Nut Company,Resolved,10/27/2020,Non-Food Manufacturer/Warehouse,,,Otero,7/28/2020,,14,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Palmer Middle School,Resolved,6/12/2021,School K-12,,Yes,El Paso,4/16/2021,,3,9,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis True Value Mercantile,Resolved,3/31/2021,Retailer,,,La Plata,3/9/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis-Palmer Elementary School,Resolved,3/17/2021,School K-12,,Yes,El Paso,3/2/2021,,1,3,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis-Palmer High School: February 2021,Resolved,6/12/2021,School K-12,,Yes,El Paso,2/19/2021,,3,26,,,,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis-Palmer High School: October 2020,Resolved,12/1/2020,School K-12,,Yes,El Paso,11/10/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis-Palmer School District Transportation,Resolved,1/29/2021,School Administration,,Yes,El Paso,12/15/2020,,7,5,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lex Apartments,Resolved,10/30/2020,Other,Housing/Apartment Complex,,Denver,10/22/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libby Bortz Assisted Living Center (2304GF),Resolved,5/14/2020,Healthcare - Assisted Living,,Yes,Arapahoe,3/23/2020,11,5,,6,,,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Common Charter School: February 2020,Resolved,3/15/2021,School K-12,,Yes,Larimer,2/12/2021,,1,12,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Common Charter School: October 2020,Resolved,3/23/2021,School K-12,,Yes,Larimer,10/20/2020,,12,61,,,,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Heights Assisted Living (230558),Resolved,6/16/2021,Healthcare - Assisted Living,,Yes,El Paso,5/18/2021,2,1,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Heights Memory Care Unit (020501),Resolved,6/1/2021,Healthcare - Memory Care,,Yes,El Paso,5/24/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Heights Skilled Nursing Center (020501),Resolved,1/18/2021,Healthcare - Skilled Nursing,,Yes,El Paso,12/21/2020,22,22,,7,,,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty High School: April 2021,Resolved,6/8/2021,School K-12,,Yes,El Paso,5/4/2021,,,14,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty High School: November 2020,Resolved,12/14/2020,School K-12,,Yes,El Paso,11/17/2020,,2,2,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Tree Academy,Resolved,5/22/2021,School K-12,,Yes,El Paso,4/20/2021,,3,9,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Aurora (0204F6): April 2020,Resolved,6/17/2020,Healthcare - Skilled Nursing,,Yes,Arapahoe,4/25/2020,62,23,,12,,,85,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Aurora (0204F6): December 2020,Resolved,5/10/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,12/22/2020,7,17,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Aurora (0204F6): May 2021,Resolved,6/28/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,6/3/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Aurora (0204F6): October 2020,Resolved,11/18/2020,Healthcare - Skilled Nursing,,Yes,Arapahoe,10/13/2020,16,10,,2,,,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Colorado Springs (0205X1),Resolved,1/26/2021,Healthcare - Skilled Nursing,,Yes,El Paso,8/25/2020,67,62,,12,,,129,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Evergreen (020490): May 2021,Resolved,5/20/2021,Healthcare - Skilled Nursing,,Yes,Jefferson,5/26/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Evergreen (020490): November 2020,Resolved,11/30/2020,Healthcare - Skilled Nursing,,Yes,Jefferson,9/22/2020,39,17,,9,,,56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Greeley (0203TL): April 2021,Resolved,4/26/2021,Healthcare - Skilled Nursing,,Yes,Weld,4/12/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Greeley (0203TL): January 2021,Resolved,2/1/2021,Healthcare - Skilled Nursing,,Yes,Weld,1/19/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Greeley (0203TL): October 2020,Resolved,12/30/2020,Healthcare - Skilled Nursing,,Yes,Weld,10/29/2020,27,27,,10,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Littleton (0204RB): August 2020,Resolved,8/25/2020,Healthcare - Skilled Nursing,,Yes,Arapahoe,8/11/2020,6,1,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Littleton (0204RB): December 2020,Resolved,2/15/2021,Healthcare - Skilled Nursing,,Yes,Arapahoe,12/3/2020,49,40,,13,,,89,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Longmont (020316): April 2020,Resolved,7/22/2020,Healthcare - Skilled Nursing,,Yes,Boulder,4/3/2020,13,12,,1,,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Longmont (020316): February 2021,Resolved,5/3/2021,Healthcare - Skilled Nursing,,Yes,Boulder,2/23/2021,3,3,,1,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Longmont (020316): June 2021,Resolved,7/8/2021,Healthcare - Skilled Nursing,,Yes,Boulder,6/30/2021,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Longmont (020316): October 2020,Resolved,2/6/2021,Healthcare - Skilled Nursing,,Yes,Boulder,10/22/2020,99,50,,32,,,149,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Pueblo (020641),Resolved,2/9/2021,Healthcare - Skilled Nursing,,Yes,Pueblo,10/16/2020,99,81,,29,,,180,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Stonegate (02C450): April 2021,Resolved,6/1/2021,Healthcare - Skilled Nursing,,Yes,Douglas,5/6/2021,1,2,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Stonegate (02C450): January 2021,Resolved,1/27/2021,Healthcare - Skilled Nursing,,Yes,Douglas,1/13/2021,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Stonegate (02C450): November 2020,Resolved,12/9/2020,Healthcare - Combined Care,,Yes,Douglas,11/23/2020,6,15,,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Westminster (0204W2): April 2021,Resolved,5/17/2021,Healthcare - Skilled Nursing,,Yes,Adams,4/15/2021,3,2,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Westminster (0204W2): December 2020,Resolved,2/1/2021,Healthcare - Skilled Nursing,,Yes,Adams,12/14/2020,4,7,,1,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Westminster (0204W2): November 2020,Resolved,12/4/2020,Healthcare - Skilled Nursing,,Yes,Adams,11/20/2020,6,21,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Care Center of Westminster (0204W2): October 2020,Resolved,11/9/2020,Healthcare - Skilled Nursing,,Yes,Adams,10/13/2020,14,17,,,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Line Colorado-Federal Heights,Resolved,2/5/2021,"Correctional, Other",,Yes,Adams,1/25/2021,2,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Quality Homes II- Cheyenne Home (2305T2),Resolved,12/29/2020,Healthcare - Assisted Living,,Yes,El Paso,12/9/2020,3,2,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Quality Homes III- Woodburn Home (2305U1),Resolved,6/2/2021,Healthcare - Assisted Living,,Yes,El Paso,5/10/2021,4,2,,1,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Tabernacle Church,Resolved,3/9/2021,Religious Facility,,,Mesa,2/1/2021,,2,12,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifespring Covenant Church,Resolved,3/25/2021,Religious Facility,,,Larimer,2/23/2021,,5,23,,,,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifetime Windows and Siding,Resolved,6/2/2021,Materials Supplier,,,Denver,5/12/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Assisted Living - Elizabeth House (23R130),Resolved,1/21/2021,Healthcare - Assisted Living,,Yes,Arapahoe,12/21/2020,4,2,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Assisted Living - Emporia House (2304O6),Resolved,12/18/2020,Healthcare - Assisted Living,,Yes,Arapahoe,11/23/2020,8,4,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Assisted Living - Maplewood House (2304M2),Resolved,1/8/2021,Healthcare - Assisted Living,,Yes,Arapahoe,12/17/2020,2,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Emergency Shelter,Resolved,2/4/2021,Homeless Shelter,,Yes,Montrose,1/15/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Neurofeedback and Behavior Analysis,Resolved,12/22/2020,Healthcare - Outpatient,Behavioral Health Center,,Boulder,11/13/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lighting, Accessory & Warning Systems",Resolved,6/3/2021,Retailer,Police Supply Store,,Arapahoe,5/11/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning eMotors,Resolved,5/17/2021,Office/Indoor Workspace,,,Larimer,4/20/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightway at the Ridge,Resolved,1/11/2021,Child Care Center,,Yes,Jefferson,12/11/2020,,2,4,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil'tykes Playschool,Resolved,3/19/2021,Child Care Center,,Yes,La Plata,2/23/2021,,2,1,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limagrain Cereal Seeds, LLC",Resolved,12/4/2020,Agriculture - Other,,,Larimer,11/23/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limon Correctional Facility,Resolved,3/18/2021,State Prison,,Yes,Colorado,11/24/2020,749,84,,,,,833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limon School,Resolved,12/7/2020,School K-12,,Yes,Lincoln,11/24/2020,,12,7,,,,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Charter Academy,Resolved,12/8/2020,School K-12,,Yes,Jefferson,11/12/2020,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County Treasurer's Office,Resolved,12/9/2020,Municipal/Local Government,government offices ,,Lincoln,11/25/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Elementary School,Resolved,4/14/2021,School K-12,,Yes,Delta,12/8/2020,,6,10,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Elementary School,Resolved,5/22/2021,School K-12,,Yes,Denver,4/23/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Health Care Center (020167),Resolved,12/21/2020,Healthcare - Skilled Nursing,,Yes,Lincoln,11/25/2020,13,4,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Meadows Senior Living (23D500): December 2020,Resolved,1/8/2021,Healthcare - Assisted Living,,Yes,Douglas,12/22/2020,8,15,,1,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Meadows Senior Living (23D500): January 2021,Resolved,1/28/2021,Healthcare - Assisted Living,,Yes,Douglas,1/20/2021,8,17,,1,1,,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Middle School,Resolved,6/21/2021,School K-12,,Yes,Larimer,5/11/2021,,1,12,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipman Colorado LLC,Resolved,6/30/2020,Food Distribution,Produce Repack Warehouse/Distribution,Yes,Denver,6/30/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiquiGreen,Resolved,12/28/2020,Home Maintenance Services,Landscaping Service,,Mesa,10/8/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Angels Christian Pre-K,Resolved,9/29/2020,Child Care Center,,Yes,Weld,9/14/2020,,2,1,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Little Bear's Child Care, Inc.",Resolved,12/10/2020,Child Care Center,,Yes,Larimer,11/12/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Blessings Church Campus,Resolved,2/18/2021,Child Care Center,,Yes,Douglas,1/25/2021,,5,3,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Caesars Pizza -  Alamosa,Resolved,6/10/2021,Restaurant - Fast Food,,,Alamosa,5/17/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Eagle Child Development Center,Resolved,1/5/2021,Child Care Center,,Yes,El Paso,12/29/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Einstein's Academy,Resolved,11/19/2020,Child Care Center,,Yes,Denver,10/15/2020,,2,1,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Elementary School,Resolved,4/1/2021,School K-12,,Yes,Jefferson,2/23/2021,,4,2,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
