Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Sunrise at Pinehurst (23049U): November 2021,2021-12-14,Healthcare - Assisted Living,,Denver,2021-11-02,2,4,,,,,6,0,,,,,,,
Tri State Generation and Transmission Association Inc.,2021-12-17,Municipal/Local Government,,Adams,2021-11-02,,9,,,,,9,0,,,,,,,
Wiggins Elementary School,2021-12-15,School K-12,,Morgan,2021-11-02,,,9,,,,9,0,,,,,,,
Willows Child Learning Center - Willows/Arapaho-Hills,2021-11-19,Child Care Center,,Arapahoe,2021-11-02,,6,10,,,,16,0,,,,,,,
Albertsons #0816: October 2021,2022-03-08,Grocery Store,,Pueblo,2021-11-03,,15,,,,,15,0,,,,,,,
Aviva at Fitzsimons (02S294): October 2021,2021-11-29,Healthcare - Nursing Facility,,Adams,2021-11-03,2,1,,,,,3,0,,,,,,,
Campbell Construction,2021-11-22,Construction Company/Contractor,,Summit,2021-11-03,,5,,,,,5,0,,,,,,,
Chatfield Elementary School: August 2021,2022-01-09,School K-12,,Mesa,2021-11-03,,1,19,,,,20,0,,,,,,,
Colorado Academy Employee Child Care Center,2021-11-20,Child Care Center,,Jefferson,2021-11-03,,2,4,,,,6,0,,,,,,,
Colorado State University - Newsom Hall,2021-12-06,School/College Dorm,,Larimer,2021-11-03,,,8,,,,8,0,,,,,,,
High Desert Assisted Living- House 2 LLC (23G929): November 2021,2021-11-29,Healthcare - Assisted Living,,Mesa,2021-11-03,2,,,,,,2,0,,,,,,,
Hygiene Elementary School,2022-07-01,School K-12,,Boulder,2021-11-03,,1,26,,,,27,0,,,,,,,
Mortgage Financial Solutions: November 2021,2021-12-10,Office/Indoor Workspace,,El Paso,2021-11-03,,8,,,,,8,0,,,,,,,
Park Regency Thornton (23Q568): October 2021,2021-11-28,Healthcare - Assisted Living,,Adams,2021-11-03,8,2,,,,,10,0,,,,,,,
Pleasant View Middle School,2022-03-21,School K-12,,Pueblo,2021-11-03,,6,49,,,,55,0,,,,,,,
Summit Glen Gracious Retirement Living: November 2021,2021-12-15,Healthcare - Independent Living Facility,,El Paso,2021-11-03,26,,,1,,,26,1,,,,,,,
TIGI Hairdressing Academy: October 2021,2021-11-30,Trade School,,El Paso,2021-11-03,,3,7,,,,10,0,,,,,,,
Advanced Health Care of Aurora (02D982): October 2021,2021-11-23,Healthcare - Nursing Facility,,Arapahoe,2021-11-04,15,8,,,,,23,0,,,,,,,
Aish of the Rockies,2021-11-30,Religious Facility,,Arapahoe,2021-11-04,,,10,,,,10,0,,,,,,,
Alamosa County Detention Facility: November 2021,2022-02-11,Jail,,Alamosa,2021-11-04,14,9,,,,,23,0,,,,,,,
Creekside Village Health and Rehabilitation Center (020372): November 2021,2021-12-16,Healthcare - Nursing Facility,,Larimer,2021-11-04,2,3,,,,,5,0,,,,,,,
Cresthill Middle School: October 2021,2021-12-14,School K-12,,Douglas,2021-11-04,,2,8,,,,10,0,,,,,,,
Crossroads at Delta ALF (23R567): November 2021,2021-11-29,Healthcare - Assisted Living,,Delta,2021-11-04,2,1,,1,,,3,1,,,,,,,
Gardens Care Homestead (230406): November 2021,2021-12-08,Healthcare - Assisted Living,,Jefferson,2021-11-04,,5,,,,,5,0,,,,,,,
Gardens on Quail (23U764): November 2021,2021-12-22,Healthcare - Assisted Living,,Jefferson,2021-11-04,1,4,,,,,5,0,,,,,,,
Japango,2021-11-30,Restaurant - Sit Down,,Boulder,2021-11-04,,5,,,,,5,0,,,,,,,
Juniper Village at Aurora (2304S1): October 2021,2021-12-13,Healthcare - Assisted Living,,Arapahoe,2021-11-04,,5,,,,,5,0,,,,,,,
Lamar Middle School,2021-12-21,School K-12,,Prowers,2021-11-04,,,15,,,,15,0,,,,,,,
Lighthouse Assisted Living - Emporia House (2304O6): October 2021,2021-11-16,Healthcare - Assisted Living,,Arapahoe,2021-11-04,2,1,,,,,3,0,,,,,,,
Newton Middle School: October 2021,2022-01-15,School K-12,,Arapahoe,2021-11-04,,1,6,,,,7,0,,,,,,,
Shamrock Foods,2022-03-23,Food Distribution,,Adams,2021-11-04,,110,,,,,110,0,,,,,,,
Stone Mountain Elementary: October 2021,2021-12-10,School K-12,,Douglas,2021-11-04,,,15,,,,15,0,,,,,,,
The Harloff Company,2021-12-16,Non-Food Manufacturer/Warehouse,,El Paso,2021-11-04,,7,,,,,7,0,,,,,,,
The Suites at Someren Glen Care Center (020471): October 2021,2021-11-09,Healthcare - Nursing Facility,,Arapahoe,2021-11-04,3,2,,,,,5,0,,,,,,,
The Villas at Sunny Acres Skilled Nursing (020458): October 2021,2022-03-22,Healthcare - Nursing Facility,,Adams,2021-11-04,79,82,,8,1,,161,9,,,,,,,
Children's Kiva Montessori School: October 2021,2022-01-03,School K-12,,Montezuma,2021-11-05,,3,12,,,,15,0,,,,,,,
Denver Zoo,2021-12-06,Outdoor Entertainment/Rec,,Denver,2021-11-05,,10,,,,,10,0,,,,,,,
Euclid Middle School: October 2021,2021-12-10,School K-12,,Arapahoe,2021-11-05,,,9,,,,9,0,,,,,,,
Grand Junction Regional Center-House 6 (061162): November 2021,2021-11-26,Healthcare - Intermediate Care,,Colorado,2021-11-05,,2,,,,,2,0,,,,,,,
Hach Company: October 2021,2022-09-21,Non-Food Manufacturer/Warehouse,,Larimer,2021-11-05,,123,,,,,123,0,,,,,,,
Lark Springs (2305S9): October 2021,2021-12-02,Healthcare - Assisted Living,,El Paso,2021-11-05,10,11,,,,,21,0,,,,,,,
Lowry Hills Care and Rehabilitation (020426): October 2021,2022-03-14,Healthcare - Nursing Facility,,Arapahoe,2021-11-05,39,42,,,,,81,0,,,,,,,
Manaugh Elementary School,2022-03-29,School K-12,,Montezuma,2021-11-05,,6,21,,,,27,0,,,,,,,
Mancos Elementary School: October 2021,2021-12-13,School K-12,,Montezuma,2021-11-05,,2,8,,,,10,0,,,,,,,
Morningstar Assisted Living Of Littleton (23N258): November 2021 ,2022-03-07,Healthcare - Assisted Living,,Jefferson,2021-11-05,29,36,,,,,65,0,,,,,,,
"Optum, Inc.",2021-12-02,Office/Indoor Workspace,Call Center,El Paso,2021-11-05,,8,,,,,8,0,,,,,,,
Rocky Mountain Bank & Trust,2021-11-29,Office/Indoor Workspace,,El Paso,2021-11-05,,7,,,,,7,0,,,,,,,
STEM Lab,2021-12-02,School K-12,,Adams,2021-11-05,,1,12,,,,13,0,,,,,,,
Sunrise of Westminster (23R753): October 2021,2022-01-11,Healthcare - Assisted Living,,Adams,2021-11-05,9,10,,2,,,19,2,,,,,,,
Bailey's Moving and Storage,2021-11-19,Other,Moving and Storage,Arapahoe,2021-11-08,,8,,,,,8,0,,,,,,,
Cedar Ridge Elementary School,2022-03-01,School K-12,,Pueblo,2021-11-08,,14,34,,,,48,0,,,,,,,
CEVA Logistics,2021-12-10,Non-Food Manufacturer/Warehouse,,Arapahoe,2021-11-08,,11,,,,,11,0,,,,,,,
Chaparral High School: October 2021,2021-12-05,School K-12,,Douglas,2021-11-08,,2,13,,,,15,0,,,,,,,
Colorado State Penitentiary: November 2021,2021-12-21,State Prison,,Colorado,2021-11-08,3,20,,,,,23,0,,,,,,,
Continuing Care at Wind Crest (23A843): November 2021,2022-02-21,Healthcare - Assisted Living,,Douglas,2021-11-08,12,67,,1,,,79,1,,,,,,,
Cornerstone Christian School,2021-12-31,School K-12,,Eagle,2021-11-08,,6,9,,1,,15,1,,,,,,,
Cottonwood Ridge (23X372): November 2021,2021-12-06,Healthcare - Assisted Living,,Otero,2021-11-08,2,2,,,,,4,0,,,,,,,
Crawford Elementary School,2021-12-01,School K-12,,Adams,2021-11-08,,1,4,,,,5,0,,,,,,,
Desert Sage Elementary School,2022-03-08,School K-12,,Pueblo,2021-11-08,,10,45,,,,55,0,,,,,,,
Fremont County Head Start: November 2021,2021-12-27,Child Care Center,,Fremont,2021-11-08,,7,1,,,,8,0,,,,,,,
Garden Square of Greeley (2303DK): November 2021,2021-12-28,Healthcare - Assisted Living,,Weld,2021-11-08,1,4,,,,,5,0,,,,,,,
Golden Valley Assisted Living (230667): November 2021,2021-11-30,Healthcare - Assisted Living,,Pueblo,2021-11-08,8,,,,,,8,0,,,,,,,
Highland Park Elementary School,2022-03-08,School K-12,,Pueblo,2021-11-08,,16,36,,,,52,0,,,,,,,
Montrose Regional Health,2022-04-21,Healthcare - Acute Care Hospital,,Montrose,2021-11-08,,75,,,,,75,0,,,,,,,
Power Credit Union,2021-12-06,Office/Indoor Workspace,,Pueblo,2021-11-08,,10,,,,,10,0,,,,,,,
Prairie Crossing Elementary School,2022-03-29,School K-12,,Douglas,2021-11-08,,6,62,,,,68,0,,,,,,,
Primrose School at Candelas,2022-02-27,Child Care Center,,Jefferson,2021-11-08,,11,21,,,,32,0,,,,,,,
Rye High School,2022-03-15,School K-12,,Pueblo,2021-11-08,,11,11,,,,22,0,,,,,,,
Sandburg Elementary School ,2021-12-25,School K-12,,Arapahoe,2021-11-08,,,15,,,,15,0,,,,,,,
SCRAM Systems,2021-11-26,Non-Food Manufacturer/Warehouse,,Arapahoe,2021-11-08,,10,,,,,10,0,,,,,,,
University of Colorado Boulder - Recreation Center,2021-12-06,College/University,,Boulder,2021-11-08,,,5,,,,5,0,,,,,,,
University of Colorado Denver - Anatomy Labs,2021-12-08,College/University,,Denver,2021-11-08,,,6,,,,6,0,,,,,,,
Vickie Street Residential Facility (050102): October 2021,2021-11-24,Healthcare - RCFDD Group home,,Morgan,2021-11-08,,2,,,,,2,0,,,,,,,
Willowbrook Place (23B432): November 2021,2021-12-10,Healthcare - Assisted Living,,Jefferson,2021-11-08,,4,,,,,4,0,,,,,,,
"ZAP Engineering & Construction Services, Inc.",2022-02-23,Construction Company/Contractor,,Jefferson,2021-11-08,,40,,,,,40,0,,,,,,,
Ashley Manor - Irma 1 (23J169): November 2021,2021-12-07,Healthcare - Assisted Living,,Adams,2021-11-09,,3,,,,,3,0,,,,,,,
Aspen Youth Hockey League,2021-12-14,Youth Sports/Activities,,Pitkin,2021-11-09,,,32,,,,32,0,,,,,,,
Aurora Quest K-8: October 2021,2021-12-06,School K-12,,Arapahoe,2021-11-09,,,5,,,,5,0,,,,,,,
Baca Elementary School: November 2021,2021-12-19,School K-12,,Pueblo,2021-11-09,,4,2,,,,6,0,,,,,,,
Bookcliff Manor Assisted Living (231118): November 2021,2021-12-07,Healthcare - Assisted Living,,Mesa,2021-11-09,2,2,,,,,4,0,,,,,,,
Brookdale Skyline (02R487): November 2021,2021-12-03,Healthcare - Nursing Facility,,El Paso,2021-11-09,4,2,,,,,6,0,,,,,,,
Colorado Center for the Blind,2021-12-01,Other,Training Center for the Blind,Arapahoe,2021-11-09,,6,10,,,,16,0,,,,,,,
Columbian Elementary School: November 2021,2022-01-04,School K-12,,Pueblo,2021-11-09,,2,4,,,,6,0,,,,,,,
Department of Housing Stability - Denver Coliseum ,2021-12-09,Homeless Shelter,,Denver,2021-11-09,26,,,,,,26,0,,,,,,,
"E-Z Excavating, Inc. ",2021-11-18,Construction Company/Contractor,,Weld,2021-11-09,,13,,,,,13,0,,,,,,,
East High School: October 2021,2022-03-22,School K-12,,Pueblo,2021-11-09,,15,70,,,,85,0,,,,,,,
Edna and John W Mosley P-8 School: October 2021,2021-12-01,School K-12,,Arapahoe,2021-11-09,,1,6,,,,7,0,,,,,,,
Espree Child Learning Center,2021-12-02,Child Care Center,,Douglas,2021-11-09,,4,8,,,,12,0,,,,,,,
Fading West Development,2021-11-22,Construction Company/Contractor,Construction/Manufacturing,Chaffee,2021-11-09,,6,,,,,6,0,,,,,,,
Gateway Residential Services: November 2021,2021-12-01,"Correctional, Other",Youth correctional facility,Delta,2021-11-09,2,2,,,,,4,0,,,,,,,
Green Mountain High School: October 2021,2022-06-14,School K-12,,Jefferson,2021-11-09,,18,132,,,,150,0,,,,,,,
Ignacio Elementary School ,2022-02-23,School K-12,,La Plata,2021-11-09,,6,33,,,,39,0,,,,,,,
Irving Elementary School: October 2021,2022-01-04,School K-12,,Pueblo,2021-11-09,,3,11,,,,14,0,,,,,,,
Ivybrook Academy - Castle Rock,2021-12-06,Child Care Center,,Douglas,2021-11-09,,4,11,,,,15,0,,,,,,,
Life Care Center of Colorado Springs (0205X1): November 2021,2021-11-22,Healthcare - Nursing Facility,,El Paso,2021-11-09,,2,,,,,2,0,,,,,,,
Little People's Landing - Arvada,2021-11-29,Child Care Center,,Jefferson,2021-11-09,,,6,,,,6,0,,,,,,,
Lyons Sandstone,2021-12-10,Other,Quarry and Fabrication Company,Larimer,2021-11-09,,7,,,,,7,0,,,,,,,
Monument Assisted Living Care Center LLC (230238),2021-12-08,Healthcare - Assisted Living,,Mesa,2021-11-09,5,2,,,,,7,0,,,,,,,
North Shore Health & Rehab Facility (020331): November 2021,2021-12-01,Healthcare - Nursing Facility,,Larimer,2021-11-09,,2,,,,,2,0,,,,,,,
Paragon Learning Center: November 2021,2022-01-04,School K-12,,Pueblo,2021-11-09,,8,4,,,,12,0,,,,,,,
Porter Adventist Hospital - 5 North,2021-11-30,Healthcare - Acute Care Hospital,,Denver,2021-11-09,2,3,,,,,5,0,,,,,,,
Pueblo Academy of Arts,2022-03-14,School K-12,,Pueblo,2021-11-09,,14,56,,,,70,0,,,,,,,
Ralston Creek Neighborhood (23Q656): November 2021,2021-12-28,Healthcare - Assisted Living,,Jefferson,2021-11-09,2,1,,1,,,3,1,,,,,,,
Regis University - Doctorate of Physical Therapy Program,2021-12-07,College/University,,Denver,2021-11-09,,,11,,,,11,0,,,,,,,
Risley International Academy of Innovation,2022-03-14,School K-12,,Pueblo,2021-11-09,,29,32,,,,61,0,,,,,,,
SkyView Academy: November 2021,2021-12-13,School K-12,,Douglas,2021-11-09,,1,15,,,,16,0,,,,,,,
South Park Elementary School: November 2021,2022-01-04,School K-12,,Pueblo,2021-11-09,,2,11,,,,13,0,,,,,,,
Springs Village Care Center (020535): November 2021,2021-11-12,Healthcare - Nursing Facility,,El Paso,2021-11-09,3,,,,,,3,0,,,,,,,
Stephen's Farm at Adeo Colorado (23A930): November 2021,2021-11-26,Healthcare - Assisted Living,,Weld,2021-11-09,,3,,,,,3,0,,,,,,,
Sugar Valley Estates: November 2021,2022-01-03,Healthcare - Independent Living Facility,,Larimer,2021-11-09,15,3,,2,,,18,2,,,,,,,
Sunny Vista Living Center (020517): November 2021,2022-04-08,Healthcare - Nursing Facility,,El Paso,2021-11-09,42,50,,,,,92,0,,,,,,,
Sunset Park Elementary School: October 2021,2022-04-25,School K-12,,Pueblo,2021-11-09,,7,40,,,,47,0,,,,,,,
Vineland Middle School,2022-03-21,School K-12,,Pueblo,2021-11-09,,5,47,,,,52,0,,,,,,,
Westlake Care Community (020427): November 2021,2021-11-29,Healthcare - Nursing Facility,,Jefferson,2021-11-09,1,2,,,,,3,0,,,,,,,
Young People's Learning Center,2022-03-01,Child Care Center,,Larimer,2021-11-09,,4,23,,,,27,0,,,,,,,
Abbey Road Assisted Living - Ulster (23R558),2021-11-11,Healthcare - Assisted Living,,Arapahoe,2021-11-10,1,1,,,,,2,0,,,,,,,
American Academy - Motsenbocker: November 2021,2022-02-25,School K-12,,Douglas,2021-11-10,,4,46,,,,50,0,,,,,,,
Aurora Academy Charter School,2021-12-07,School K-12,,Arapahoe,2021-11-10,,3,4,,,,7,0,,,,,,,
Aurora Expeditionary Learning Academy (AXL): November 2021,2021-12-04,School K-12,,Arapahoe,2021-11-10,,1,4,,,,5,0,,,,,,,
Casey's Pond Senior Living (23Y775): October 2021,2021-11-04,Healthcare - Assisted Living,,Routt,2021-11-10,1,1,,,,,2,0,,,,,,,
Colorado School of Mines Athletics - Men's Basketball Team,2021-12-13,College/University,,Jefferson,2021-11-10,,2,5,,,,7,0,,,,,,,
DeBourgh Manufacturing Company,2021-12-28,Non-Food Manufacturer/Warehouse,,Otero,2021-11-10,,25,,,,,25,0,,,,,,,
Denver Athletic Club,2022-03-14,Indoor Entertainment/Rec,,Denver,2021-11-10,,23,,,,,23,0,,,,,,,
Elevation Health and Rehabilitation Center (020431): November 2021,2021-11-11,Healthcare - Nursing Facility,,Arapahoe,2021-11-10,2,3,,,,,5,0,,,,,,,
"Five Rivers Cattle Feeding, LLC. - Kuner Feedlot",2021-12-15,Agriculture - Other,,Weld,2021-11-10,,8,,,,,8,0,,,,,,,
Fort Collins Police Department: November 2021,2022-09-25,Law Enforcement - Other,,Larimer,2021-11-10,,123,,,,,123,0,,,,,,,
Fountain Mesa Elementary,2021-12-07,School K-12,,El Paso,2021-11-10,,,5,,,,5,0,,,,,,,
Hunter's Glen Elementary School,2021-11-24,School K-12,,Adams,2021-11-10,,,5,,,,5,0,,,,,,,
Liberty Point International Middle School,2022-04-18,School K-12,,Pueblo,2021-11-10,,7,76,,,,83,0,,,,,,,
Life Care Center of Littleton (0204RB): October 2021,2021-12-13,Healthcare - Nursing Facility,,Arapahoe,2021-11-10,1,7,,1,,,8,1,,,,,,,
LivWell Enlightened Health Marijuana Dispensary - Fort Collins,2021-12-01,Retailer,,Larimer,2021-11-10,,5,,,,,5,0,,,,,,,
Lone Tree Elementary School: November 2021,2021-12-26,School K-12,,Douglas,2021-11-10,,1,7,,,,8,0,,,,,,,
North Mesa Elementary School,2022-03-08,School K-12,,Pueblo,2021-11-10,,12,33,,,,45,0,,,,,,,
Primrose School at Reunion: November 2021,2021-12-04,Child Care Center,,Adams,2021-11-10,,2,6,,,,8,0,,,,,,,
Primrose School of Castle Rock,2021-12-25,Child Care Center,,Douglas,2021-11-10,,,15,,,,15,0,,,,,,,
Rio Blanco County Road and Bridge: November 2021 ,2021-12-08,Municipal/Local Government,,Rio Blanco,2021-11-10,,7,,,,,7,0,,,,,,,
River Valley Inn Nursing Home (02Z787): November 2021,2021-12-23,Healthcare - Nursing Facility,,Rio Grande,2021-11-10,4,7,,,,,11,0,,,,,,,
Rocky Mountain Montessori Academy,2021-12-10,School K-12,,El Paso,2021-11-10,,5,5,,,,10,0,,,,,,,
Rose Street Group Home (05S675),2021-12-14,Healthcare - RCFDD Group home,,Moffat,2021-11-10,2,1,,,,,3,0,,,,,,,
Silver Creek Elementary: November 2021,2021-12-13,School K-12,,Adams,2021-11-10,,,8,,,,8,0,,,,,,,
South Mesa Elementary School: November 2021,2021-12-21,School K-12,,Pueblo,2021-11-10,,5,10,,,,15,0,,,,,,,
"Spring Creek School, LLC",2021-12-13,Child Care Center,,Larimer,2021-11-10,,3,4,,,,7,0,,,,,,,
The Crossing Church of the Nazarene,2021-12-04,Religious Facility,,Adams,2021-11-10,,4,15,,,,19,0,,,,,,,
The Peaks Care Center (020391): November 2021,2021-12-08,Healthcare - Nursing Facility,,Boulder,2021-11-10,8,3,,1,,,11,1,,,,,,,
Aspen Adult Hockey League,2021-12-13,Adult Sports Club/Team,,Pitkin,2021-11-11,,3,28,,,,31,0,,,,,,,
"Lamar Estates, LLC (020201): November 2021",2021-12-20,Healthcare - Nursing Facility,,Prowers,2021-11-11,,4,,,,,4,0,,,,,,,
Skyline Ridge Nursing and Rehabilitation Center (020682): November 2021,2021-12-27,Healthcare - Nursing Facility,,Fremont,2021-11-11,9,17,,,,,26,0,,,,,,,
The Sunshine House Fort Collins- Bucking Horse Farm: October 2021,2021-12-21,Child Care Center,,Larimer,2021-11-11,,1,7,,,,8,0,,,,,,,
Accel at Longmont (02V342): November 2021,2021-11-23,Healthcare - Nursing Facility,,Boulder,2021-11-12,,3,,,,,3,0,,,,,,,
Atria Westminster (23B428): November 2021,2021-11-30,Healthcare - Assisted Living,,Adams,2021-11-12,4,2,,,,,6,0,,,,,,,
Broadmoor Elementary School: November 2021,2021-12-27,School K-12,,El Paso,2021-11-12,,,17,,,,17,0,,,,,,,
Caley Ridge Assisted Living Community (230487): November 2021,2021-12-05,Healthcare - Assisted Living,,Arapahoe,2021-11-12,2,4,,,,,6,0,,,,,,,
Centennial Correctional Facility: November 2021,2021-12-15,State Prison,,Colorado,2021-11-12,3,21,,,,,24,0,,,,,,,
City of Fountain City Hall,2022-01-30,Municipal/Local Government,,El Paso,2021-11-12,,17,,,,,17,0,,,,,,,
Colorado PERA: November 2021,2022-04-12,Office/Indoor Workspace,,Denver,2021-11-12,,45,,,,,45,0,,,,,,,
Falcon Heights Health and Rehabilitation Center (020586): November 2021,2021-11-23,Healthcare - Nursing Facility,,El Paso,2021-11-12,2,4,,,,,6,0,,,,,,,
Frontier Valley Independent And Assisted Living (2304B1): November 2021,2021-11-22,Healthcare - Assisted Living,,Arapahoe,2021-11-12,3,1,,,,,4,0,,,,,,,
Life Care Center of Longmont (020316): November 2021,2021-12-18,Healthcare - Nursing Facility,,Boulder,2021-11-12,,5,,,,,5,0,,,,,,,
MorningStar at Ridgegate (23X760): November 2021,2022-03-31,Healthcare - Assisted Living,,Douglas,2021-11-12,40,49,,,,,89,0,,,,,,,
Parkview Orthopedic Hospital Construction Site,2021-12-06,Construction Site,,Pueblo,2021-11-12,,21,,,,,21,0,,,,,,,
Pueblo Rescue Mission: October 2021,2022-01-12,Homeless Shelter,,Pueblo,2021-11-12,13,1,,,,,14,0,,,,,,,
Springs Ranch Memory Care Community (23Z839): November 2021,2021-12-07,Healthcare - Assisted Living,,El Paso,2021-11-12,3,1,,,,,4,0,,,,,,,
The Learning Experience - Lafayette: November 2021,2021-12-21,Child Care Center,,Boulder,2021-11-12,,4,7,,,,11,0,,,,,,,
The Retreat at Palisade (2311QG): November 2021,2021-12-13,Healthcare - Assisted Living,,Mesa,2021-11-12,13,2,,,,,15,0,,,,,,,
Tollgate Elementary School of Expeditionary Learning,2021-12-09,School K-12,,Arapahoe,2021-11-12,,3,7,,,,10,0,,,,,,,
"Applewood Our House Assisted Living, Inc. (23D173): November 2021",2021-11-23,Healthcare - Assisted Living,,Jefferson,2021-11-15,,2,,,,,2,0,,,,,,,
Avamere Transitional Care and Rehabilitation (020399): October 2021,2022-03-07,Healthcare - Nursing Facility,,Adams,2021-11-15,15,51,,,,,66,0,,,,,,,
Bally's Black Hawk Casino,2022-02-19,Casino,,Gilpin,2021-11-15,,56,,,,,56,0,,,,,,,
Bear Creek Center (020435): November 2021,2021-12-10,Healthcare - Nursing Facility,,Jefferson,2021-11-15,,2,,,,,2,0,,,,,,,
Cache La Poudre Elementary School: October 2021,2022-03-30,School K-12,,Larimer,2021-11-15,,6,51,,,,57,0,,,,,,,
Cadence Academy - Columbine: November 2021,2021-12-07,Child Care Center,,Jefferson,2021-11-15,,3,3,,,,6,0,,,,,,,
Castle Peak Senior Life and Rehabilitation (02X369): November 2021,2021-12-22,Healthcare - Nursing Facility,,Eagle,2021-11-15,,3,,,,,3,0,,,,,,,
Colorado Bar and Grill,2021-12-07,Bar/Tavern/Brewery,,Routt,2021-11-15,,3,12,,,,15,0,,,,,,,
Colorado Department of Public Health and Environment,2021-12-10,Office/Indoor Workspace,,Colorado,2021-11-15,,9,,,,,9,0,,,,,,,
Colorado Springs Public Defender's Office,2022-01-07,Municipal/Local Government,Law Office,El Paso,2021-11-15,,13,,,,,13,0,,,,,,,
Columbine High School: October 2021,2022-06-23,School K-12,,Jefferson,2021-11-15,,18,196,,,,214,0,,,,,,,
Cottonwood Inn Rehab and Extended Care Center (02E994): November 2021,2021-12-20,Healthcare - Nursing Facility,,La Plata,2021-11-15,1,6,,,,,7,0,,,,,,,
Douglas County Jail: August 2021,2022-05-09,Jail,,Douglas,2021-11-15,153,59,,,,,212,0,,,,,,,
Faith Lutheran Preschool,2021-12-06,Child Care Center,,Douglas,2021-11-15,,5,7,,,,12,0,,,,,,,
Green Gables Elementary School,2022-02-25,School K-12,,Jefferson,2021-11-15,,5,21,,,,26,0,,,,,,,
Highline Academy Southeast,2022-06-28,School K-12,,Denver,2021-11-15,,10,43,,,,53,0,,,,,,,
Inglenook at Brighton (2303GK): November 2021,2022-02-07,Healthcare - Assisted Living,,Adams,2021-11-15,1,1,,,,,2,0,,,,,,,
LPR Construction - CU Anschutz Construction Site: October 2021,2021-12-24,Construction Site,,Adams,2021-11-15,,6,,,,,6,0,,,,,,,
Marion House (050140): November 2021,2021-11-29,Healthcare - RCFDD Group home,,Kit Carson,2021-11-15,1,2,,,,,3,0,,,,,,,
Pine Ridge Extended Care Center (0212V8): November 2021,2021-12-21,Healthcare - Nursing Facility,,Archuleta,2021-11-15,1,6,,,,,7,0,,,,,,,
Pioneer Health Care Center (020256): November 2021,2021-12-22,Healthcare - Nursing Facility,,Otero,2021-11-15,,6,,,,,6,0,,,,,,,
Rocky Mountain Chocolate Factory: November 2021,2021-12-23,Food Manufacturing/Packaging,,La Plata,2021-11-15,,42,,,,,42,0,,,,,,,
South Valley Post Acute Rehabilitation (020416): October 2021,2021-11-18,Healthcare - Nursing Facility,,Denver,2021-11-15,,2,,,,,2,0,,,,,,,
Spring Creek Youth Services Center: November 2021,2021-11-30,"Correctional, Other",Youth correctional facility,Colorado,2021-11-15,3,5,,,,,8,0,,,,,,,
St Andrews Village (23G126): November 2021,2021-11-18,Healthcare - Assisted Living,,Arapahoe,2021-11-15,2,,,,,,2,0,,,,,,,
The Goddard School- Thornton: November 2021,2021-12-19,Child Care Center,,Adams,2021-11-15,,2,11,,,,13,0,,,,,,,
UPS Distribution Center - Steamboat Springs: November 2021,2021-12-15,Distribution Center/Business,,Routt,2021-11-15,,8,,,,,8,0,,,,,,,
Banning Lewis Ranch Academy: November 2021,2021-12-13,School K-12,,El Paso,2021-11-16,,1,5,,,,6,0,,,,,,,
Bear Creek High School: November 2021,2022-04-30,School K-12,,Jefferson,2021-11-16,,13,174,,,,187,0,,,,,,,
Boone's Dream (050615),2021-12-08,Healthcare - RCFDD Group home,,Pueblo,2021-11-16,5,4,,1,,,9,1,,,,,,,
Canon Lodge Care Center (020676): November 2021,2021-12-13,Healthcare - Nursing Facility,,Fremont,2021-11-16,2,4,,,,,6,0,,,,,,,
Collinwood Assisted Living (2303UO): November 2021,2021-11-23,Healthcare - Assisted Living,,Larimer,2021-11-16,,2,,,,,2,0,,,,,,,
Compositive Primary,2021-12-10,School K-12,,Adams,2021-11-16,,2,5,,,,7,0,,,,,,,
Crowley County Nursing Center (020248): November 2021,2021-11-30,Healthcare - Nursing Facility,,Crowley,2021-11-16,,2,,,,,2,0,,,,,,,
Dos Rios Elementary School: October 2021,2021-11-09,School K-12,,Mesa,2021-11-16,,1,12,,,,13,0,,,,,,,
Fruitvale Elementary School: November 2021,2021-12-12,School K-12,,Mesa,2021-11-16,,1,12,,,,13,0,,,,,,,
GLOBE Charter School,2021-12-07,School K-12,,El Paso,2021-11-16,,2,5,,,,7,0,,,,,,,
Golden Lodge Assisted Living LLC (23Q716): November 2021,2021-12-13,Healthcare - Assisted Living,,Jefferson,2021-11-16,1,2,,,,,3,0,,,,,,,
Gunnison Valley Health Senior Care Center (020999): November 2021,2021-12-23,Healthcare - Nursing Facility,,Gunnison,2021-11-16,1,6,,,,,7,0,,,,,,,
Larimer County Jail: October 2021,2022-02-24,Jail,,Larimer,2021-11-16,66,11,,,,,77,0,,,,,,,
Larimer County Sheriff Department- Court Division,2021-11-10,Law Enforcement - Other,,Larimer,2021-11-16,,6,,,,,6,0,,,,,,,
Lincoln Academy 5th-6th Building,2021-12-11,School K-12,,Jefferson,2021-11-16,,1,11,,,,12,0,,,,,,,
Lincoln Academy 7th-8th Building: October 2021,2021-12-10,School K-12,,Jefferson,2021-11-16,,1,7,,,,8,0,,,,,,,
Littleton Academy Charter School: November 2021,2021-12-07,School K-12,,Arapahoe,2021-11-16,,,5,,,,5,0,,,,,,,
