Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Lowry Hills Care and Rehabilitation (020426): April 2020,2020-07-28,Healthcare - Nursing Facility,,Arapahoe,2020-04-08,12,15,,4,,,27,4,,,,,,,
Manorcare Health Services - Denver (020476): April 2020,2020-07-24,Healthcare - Nursing Facility,,Denver,2020-04-08,51,25,,14,,,76,14,,,,,,,
St Andrews Village-LTC (02O244): April 2020,2020-06-09,Healthcare - Nursing Facility,,Arapahoe,2020-04-08,15,10,,8,,,25,8,,,,,,,
University Heights Rehab and Care Community (020447): April 2020,2020-07-22,Healthcare - Nursing Facility,,Arapahoe,2020-04-08,19,18,,4,,,37,4,,,,,,,
Belleview Heights Alzheimer's Special Care (23R712): April 2020,2020-06-11,Healthcare - Assisted Living,,Arapahoe,2020-04-09,25,12,,10,,,37,10,,,,,,,
Brookdale Parkplace (2304A2): April 2020,2020-06-02,Healthcare - Assisted Living,,Denver,2020-04-09,7,11,,5,,,18,5,,,,,,,
Dayspring Villa (2304IX): April 2020,2020-05-14,Healthcare - Assisted Living,,Denver,2020-04-09,9,3,,,,,12,0,,,,,,,
Good Samaritan Society - Bonell Community (020356): April 2020,2020-06-30,Healthcare - Nursing Facility,,Weld,2020-04-09,33,27,,8,,,60,8,,,,,,,
Gunnison Valley Health Senior Care Center (020999): April 2020,2020-06-24,Healthcare - Nursing Facility,,Gunnison,2020-04-09,11,35,,2,,,46,2,,,,,,,
Powerback Rehabilitation Lafayette (02U713): April 2020,2020-07-08,Healthcare - Nursing Facility,,Boulder,2020-04-09,10,15,,5,,,25,5,,,,,,,
Cambridge Care Center (020441): April 2020,2020-08-09,Healthcare - Nursing Facility,,Jefferson,2020-04-10,10,8,,2,,,18,2,,,,,,,
The Carillon at Belleview Station (23N139): April 2020,2020-06-17,Healthcare - Assisted Living,,Denver,2020-04-10,17,17,,9,,,34,9,,,,,,,
Accel at Golden Ridge (02V720): April 2020,2020-06-16,Healthcare - Nursing Facility,,Jefferson,2020-04-11,24,5,,6,,,29,6,,,,,,,
Julia Temple Healthcare Center (020418): April 2020,2020-06-30,Healthcare - Nursing Facility,,Arapahoe,2020-04-11,32,39,,18,2,,71,20,,,,,,,
Mesa Vista of Boulder (020380): April 2020,2020-07-07,Healthcare - Nursing Facility,,Boulder,2020-04-11,31,31,,5,,,62,5,,,,,,,
Orchard Park Health Care Center (020468): April 2020,2020-06-26,Healthcare - Nursing Facility,,Arapahoe,2020-04-11,83,69,,5,,,152,5,,,,,,,
Promedica Total Rehab+ Lakewood (02A935): April 2020,2020-06-05,Healthcare - Nursing Facility,,Jefferson,2020-04-11,22,19,,5,,,41,5,,,,,,,
Serenity House Assisted Living Hunters Hill (23G942): April 2020,2020-05-18,Healthcare - Assisted Living,,Arapahoe,2020-04-11,7,4,,1,,,11,1,,,,,,,
Serenity House Assisted Living Littleton (23M202): April 2020,2020-05-26,Healthcare - Assisted Living,,Jefferson,2020-04-11,8,4,,2,,,12,2,,,,,,,
Columbine Commons Health and Rehab LLC (02L578): April 2020,2020-05-20,Healthcare - Nursing Facility,,Weld,2020-04-12,8,11,,,,,19,0,,,,,,,
Harvard Square Retirement Community (230428): April 2020,2020-07-10,Healthcare - Assisted Living,,Denver,2020-04-12,48,31,,16,,,79,16,,,,,,,
Nightingale Lane (2304XO): April 2020,2020-06-23,Healthcare - Assisted Living,assisted living and memory care,Jefferson,2020-04-12,15,2,,7,,,17,7,,,,,,,
Bonaventure of Castle Rock (23U333): April 2020,2020-05-20,Healthcare - Assisted Living,,Douglas,2020-04-13,12,5,,1,,,17,1,,,,,,,
Rocky Mountain Natural Meats: April 2020,2020-06-03,Meat Processing/Packaging,Meat Processing Plant,Adams,2020-04-13,,18,,,,,18,0,,,,,,,
Sterling Correctional Facility: April 2020,2021-03-08,State Prison,,Colorado,2020-04-14,1516,245,,10,,,1761,10,,,,,,,
Grace Manor Care Center (020175): April 2020,2020-06-08,Healthcare - Nursing Facility,,Kit Carson,2020-04-15,10,9,,3,,,19,3,,,,,,,
Montage Heights (23H133): April 2020,2020-06-03,Healthcare - Assisted Living,,Arapahoe,2020-04-15,8,8,,3,,,16,3,,,,,,,
The Suites at Holly Creek Assisted Living (23Y389): April 2020,2020-06-26,Healthcare - Assisted Living,"Skilled nursing, continuing care retirement community",Arapahoe,2020-04-15,11,6,,4,,,17,4,,,,,,,
Intervention Community Corrections Services - Weld: April 2020,2020-06-02,"Correctional, Other",,Weld,2020-04-16,49,18,1,,,,68,0,,,,,,,
Parker Senior Living by MorningStar (23X291): April 2020,2020-06-08,Healthcare - Assisted Living,,Douglas,2020-04-16,3,5,,,,,8,0,,,,,,,
