cutoff,block.mse,block.mse.0,block.mse.last
225,0.0601803940349061,0.0338800582300091,0.0335511183251557
226,0.0607960550964435,0.0336100434183046,0.0330228047211092
227,0.064462630780802,0.0354475455380705,0.0344518444003349
228,0.0675934625571823,0.0359076850167667,0.0356112558334216
229,0.0796680669947186,0.0437048500254829,0.0436120642481429
230,0.0751822476753181,0.0374700467973971,0.036115564187675
231,0.0764187618833633,0.0370411591842081,0.036644459326255
232,0.0748569273850693,0.0367737130851275,0.0362853336486037
233,0.0699198695319685,0.0334358141568305,0.0329917960767062
234,0.0713162371308966,0.0284504215841407,0.0279400453307018
235,0.0688259258636213,0.0250514909758607,0.0247200875177646
236,0.0803695214475543,0.0289607392008104,0.0290398452272087
237,0.0791769703533128,0.0302287269343294,0.0307467479795253
238,0.0885172924446224,0.0355859101351186,0.0354243102492481
239,0.0773587165576953,0.031951655357899,0.0327200817122602
240,0.0709986840223421,0.0295319493906894,0.0292963276970808
241,0.0596895780918191,0.0258907651722315,0.0259175339593076
242,0.0682260720804562,0.0306073116078855,0.0303358890075928
243,0.0626888423309539,0.0294822560348101,0.0294923361327389
244,0.0776884355726121,0.0369832338931126,0.0367606494874406
245,0.0827429958641047,0.0416991999320652,0.0417387578547186
246,0.0893580731155412,0.046219934531885,0.0461754216971899
247,0.0840693389835135,0.0447599651305074,0.0444850790947488
248,0.0877804473947479,0.048238858545059,0.0482042778219879
249,0.0926228500005216,0.0524301889427573,0.0526670322736355
250,0.0998764223392463,0.0594943335105315,0.0589291591485981
251,0.086447511185606,0.0450962981316906,0.0417269296515046
252,0.080551076600558,0.0385049716035785,0.037169228573011
253,0.0910804438592758,0.0411029394449867,0.0410344439615129
254,0.0904787812016508,0.0400840392029182,0.0390006087509555
255,0.0950369161818172,0.0371714190210155,0.0359854525612002
256,0.0850891739300688,0.0333739427053258,0.0328698425885063
257,0.099559392599338,0.0385530298853312,0.0387772133288358
258,0.0901438295175563,0.0363198125920603,0.0369799970909614
259,0.120890904250756,0.0488635344144097,0.0500840322520909
260,0.108967117494489,0.0465744535950303,0.0465717753520099
261,0.0916214646113998,0.0413983291867779,0.0414590186161237
262,0.0921693974023123,0.0434004099971677,0.0437711063228088
263,0.0917578332828127,0.0459390967903362,0.0458393587595112
264,0.0949555918726366,0.0519160735331829,0.0519150285320464
265,0.109172892852736,0.0326406694625816,0.0333365425706122
266,0.101632419855824,0.0349908832004411,0.036042944818682
267,0.111834090697976,0.0389047561598928,0.039177099884996
268,0.0956135420044611,0.03573878059632,0.035796929136652
269,0.100592515566067,0.0390339448802763,0.0387411371292129
270,0.0934139086313927,0.0358517103693107,0.0354207486728982
271,0.10727749182429,0.0446121168899381,0.0448554884800615
272,0.0842537138722968,0.0416219300074037,0.0419861248753566
273,0.0735280983331406,0.0337226510107918,0.0333469162519072
274,0.068526627295473,0.0291290867734977,0.0286507892311402
275,0.068467332474976,0.0260309779306952,0.025516450475348
276,0.0705052854520162,0.0253196245720529,0.0248760052869391
277,0.0637902527152619,0.0202618322650144,0.0201901802014168
278,0.0726571380783889,0.0245255237198005,0.0251663451314666
279,0.0970330687818919,0.0324487793656326,0.0360147614167911
280,0.0667139929220084,0.0248798108741857,0.0249544638424883
281,0.0629917165430148,0.0244131804919571,0.0242463723619586
282,0.0617656451977836,0.0240169079433781,0.0240037938752124
283,0.0627588710913741,0.0257784965887443,0.025432952289735
284,0.0633579557037071,0.025087632228645,0.0246424434130939
285,0.0722391528642361,0.0304959946433333,0.0304612358217688
286,0.0832428498470687,0.0396706737460667,0.0397293182549754
287,0.0653495443712511,0.024502348602301,0.0244799598570191
288,0.0672707194571424,0.0240965867511811,0.0239902852988235
289,0.069791738160028,0.0224504414924162,0.022402622257133
290,0.0728706712306344,0.0220804510758602,0.022004329765402
291,0.0755684533569395,0.024837298390974,0.0248213653662282
292,0.0882369389472752,0.0323971454071239,0.0331450944180302
293,0.110093919363928,0.0448787647897449,0.0464498236759808
294,0.0587562929360418,0.0258746615059996,0.0257119365860513
295,0.0594855960827166,0.0282843952555716,0.0280991031365094
296,0.0623364044552423,0.0296306313948751,0.0295423246469904
297,0.0604919942541701,0.0257856250474615,0.025173780991967
298,0.0587137066622989,0.02297252112151,0.0212547356155292
299,0.0663609698923817,0.0245652563900006,0.0242169879744146
300,0.0775746014124969,0.0267610156887039,0.0269058098907152
301,0.0797983695774974,0.0294742207231219,0.029522288575651
302,0.0870486217460878,0.0308833311052818,0.0310132364038946
303,0.0867188834908325,0.0305953797710464,0.0307395160173543
304,0.0950683087994563,0.0212641052794914,0.0210410459145691
305,0.0925467297622112,0.0195506389140091,0.0194853494584909
306,0.0956394173443577,0.0201001085808409,0.0204016291292741
307,0.0957944185892909,0.0203609275842205,0.0203358374159585
308,0.101730586576226,0.0211037568764331,0.0211848901825388
309,0.0981059096714913,0.0204245144963866,0.0205946688075348
310,0.102083552256117,0.0214883515645431,0.0215008210273791
311,0.0910893389225187,0.019452805330269,0.0196667953213218
312,0.085518290486392,0.0181815526272535,0.0184161208467938
313,0.0853989113103604,0.0189532373628992,0.019008603687103
314,0.0912687157054257,0.0217991266877931,0.0218334967379289
315,0.090084070138368,0.0218473978371857,0.0217183108106136
316,0.0934480378908209,0.0233049420715524,0.0230890991020183
317,0.0744484133396882,0.0216764142783167,0.0213745100451401
318,0.0641868974138183,0.0182188253938483,0.0180288173043986
319,0.0536795904266365,0.0176911174987399,0.0176106733790899
320,0.049676832297149,0.0178304055803664,0.0177840235011801
321,0.045618832333161,0.0196101528632249,0.0196916312241436
322,0.0429741815494717,0.0209414874655701,0.021304918189731
323,0.0412787731031262,0.021357757318974,0.0211672762609857
324,0.0462799822155291,0.020427886387128,0.0201768621753288
325,0.0446018610909172,0.0203851747184539,0.0199235077853555
326,0.0510840159257754,0.0255707892547864,0.0257879190469732
327,0.0554824020490271,0.0307998177821767,0.030742795938041
328,0.0662600170307343,0.0405031977607509,0.0405275725461784
329,0.0707210969561773,0.0449818003175377,0.0452882898838241
330,0.0816123905469203,0.0546216433456517,0.0552816332227744
331,0.0928526869559925,0.0657825675046237,0.0658755736601904
332,0.186908181278208,0.0392510296193257,0.0409218293296635
333,0.142555267369976,0.028899063702682,0.0299789769646332
334,0.137690223839581,0.0325886947283863,0.0325104752095979
335,0.11500073757766,0.0296274427557203,0.0297555671349554
336,0.109083094515992,0.0307586131093268,0.0308328297181594
337,0.103910869715223,0.0303183379576665,0.0304171901243573
338,0.105154448058265,0.0325910501310989,0.0325854934049309
339,0.0417617691144562,0.0124366510852549,0.0124257770809997
