cutoff,block.mape,block.mape.0,block.mape.last
221,0.0403041646653945,0.0260104767761702,0.0259912122332543
222,0.0411553602803538,0.0264648323200824,0.0264385224244825
223,0.0420387434093462,0.0278870173557428,0.0279099275724798
224,0.0410863904069088,0.0281038369202921,0.0279373279883626
225,0.041639121693844,0.0279039607400661,0.0278498300659567
226,0.0413479387720558,0.0276933305668843,0.0275434654674696
227,0.0417154298224518,0.0276150413745975,0.0274508111136889
228,0.0417140484657878,0.0270862222287921,0.0270159893999346
229,0.0449627484206264,0.0291491283920098,0.0291772486988668
230,0.0459221716044298,0.0296960060751189,0.0296500270856055
231,0.0463335551370343,0.0301149386523549,0.0300796077395517
232,0.0459413173241874,0.0299906163546954,0.0299452313904718
233,0.0444734259334032,0.0284657316631561,0.0283599145391401
234,0.0439628097218068,0.0264938946971669,0.0263329060493958
235,0.0435527050593156,0.0248304579801001,0.0248019459933205
236,0.0455905246917539,0.0261558599853026,0.0262875914162604
237,0.0464995665855887,0.0277960992215785,0.0279789232552569
238,0.047609603936685,0.0295273939743151,0.0295825176015361
239,0.0465341512666137,0.0288824928621207,0.0290485282349036
240,0.044419703078486,0.028080851000952,0.0280291178469825
241,0.0411887063737519,0.0262012401061671,0.0261651761187764
242,0.0421084157965977,0.0266116450019728,0.0264894801193729
243,0.0415659756736897,0.0269540291910088,0.0269152391152118
244,0.0452904971232322,0.029042190076506,0.029049070189103
245,0.0470317422440114,0.0307297945991247,0.0307542500412499
246,0.0466031516135809,0.0299364172557023,0.0299549114449709
247,0.045872868995532,0.0293244700312021,0.0292260262776725
248,0.0444223141837088,0.027870826501296,0.027806407040281
249,0.0437155207236999,0.027609025413618,0.0275163408042326
250,0.0452391876745141,0.0288440142606103,0.0287595346281627
251,0.0467043490217231,0.0294777654763427,0.0291162439333858
252,0.0466714531332249,0.0292694158421461,0.0291768531488156
253,0.0466976233997592,0.0294777848893125,0.0295184058759748
254,0.0465658283800924,0.02895051877093,0.0289744332871533
255,0.0459070689839723,0.0271729188099128,0.0270750892909494
256,0.0453575490732098,0.0265239430879592,0.0264863048047139
257,0.0471840203383831,0.0279854130792557,0.0279768396706581
258,0.047998702094254,0.0290544145552061,0.0290697630516943
259,0.050517294176901,0.0309327674255944,0.0310493667828995
260,0.0501286108595224,0.0306297606505211,0.0306407190073102
261,0.0483414134910143,0.0297589498243988,0.0297837969897674
262,0.0482238321181522,0.0286507196869944,0.0287092690145112
263,0.0473917548156037,0.0283340119116778,0.0282922512177135
264,0.0467587267745425,0.028966485559504,0.0289473951799634
265,0.0495068528480827,0.0275421828267548,0.0276327002023336
266,0.0492558976814515,0.0284991027224646,0.0286542637314922
267,0.0503833854468609,0.0294372026798808,0.0293949036991072
268,0.048267558103838,0.0286229614932567,0.0286203418871414
269,0.0485093583822628,0.0289320447421148,0.0288675731784985
270,0.0480669646206274,0.0279962331604698,0.0278232084762262
271,0.0501259096446482,0.0294107348793962,0.0294013683389387
272,0.0441699489360012,0.026730518308074,0.0267983845363857
273,0.0441980215027977,0.0260579192138776,0.0260770191665457
274,0.0435170831377024,0.0248339862035364,0.0248563018738797
275,0.044741259152007,0.0240661170190769,0.024049545478875
276,0.0445295991614401,0.0238027691954229,0.02377523531394
277,0.0416456182813639,0.0223223618406173,0.0223147501700374
278,0.0428392866150227,0.0235374091937457,0.0236221218617534
279,0.0459783984442291,0.0250312726503235,0.0253586401296808
280,0.0420583425065809,0.0234959773370212,0.0234760317234222
281,0.0413124657466676,0.023795925889313,0.0237481892847882
282,0.0410630174340338,0.023529405725337,0.0235688476900792
283,0.041027982076536,0.0240547188192196,0.0240394327657936
284,0.0422016397472996,0.0236213475921281,0.0236374181068237
285,0.0442695977648023,0.0256371213333623,0.0256284934044696
286,0.0459709540754303,0.027647165054485,0.0276828103470425
287,0.0419082683952513,0.0240144612339011,0.0240214218493471
288,0.0431712824604721,0.0239196982042672,0.0238719571028646
289,0.0434982950599761,0.0231557574898695,0.0231040234082021
290,0.043798350275224,0.0226933977834465,0.0226027344845451
291,0.0431758073125394,0.0230549822102173,0.0230466615489776
292,0.0439242265488347,0.0247334835109172,0.0248057707156746
293,0.0459712461885569,0.0271141787014436,0.0273318039879578
294,0.038488160716443,0.0228421448506416,0.0228548444796617
295,0.0373103531465607,0.0231268865431958,0.0230955384936839
296,0.0379072219885645,0.0231394163857514,0.0231061689705136
297,0.0376986606971403,0.0213331258719278,0.021240645164758
298,0.0382586412193671,0.0203797944676772,0.0202494229611809
299,0.0394428187707061,0.0211396087714864,0.0211875007014992
300,0.0415059293934381,0.0218120795095603,0.0218560122039491
301,0.0427957249007654,0.0219322594990038,0.0220028314293851
302,0.0443679921078328,0.0218705276267873,0.0219225654077147
303,0.0434712777570744,0.0216931615164947,0.021785560502334
304,0.046139882557318,0.0201312931993587,0.0201221576078663
305,0.0457576429353971,0.0194164391623473,0.0193944253504424
306,0.0456199561589451,0.0193239853149357,0.019386906592629
307,0.0455889777272164,0.0196158778514573,0.0196270800587303
308,0.04679033541552,0.020025215301169,0.0200401817628663
309,0.0464100364608366,0.0197659360071048,0.0198077815571343
