,Importance (%)
Expanded_eligibility_of_unemployment_insurance_to_those_who_have_lost_childcare.school_closures,0.0059353924581695226
Prioritization_by_race.ethnicity,0.00587628912160582
positiveTestsAntigen,0.0058333949411385555
EP_UNEMP,0.005739938581375817
Branch_of_government_implementing_COVID.19_liability_rules,0.005548424720466145
Suspend_CHIP_premium_non.payment_lock.outs,0.005260434315181252
MP_CROWD,0.005231514205719718
EP_MOBILE,0.00520899755170344
EP_SNGPNT,0.005141754941611733
Stay_at_home_order._issued_but_did_not_specifically_restrict_movement_of_the_general_public,0.005048761947345088
Report_Indigenous_COVID.19_testing,0.0050098250443905284
Vaccine_allocation_phase._Frontline_Essential_Workers,0.004979425341333459
AREA_SQMI,0.004959867714870492
Vaccine_allocation_phase._Residents_of_Homeless_Shelters,0.004899412242386533
Variant...R.1,0.004888515692640427
Vaccine_allocation_phase._People_who_are_Incarcerated,0.0047837859209343735
EPL_GROUPQ,0.0047483746945657076
Vaccine_allocation_phase._Grocery_Store_Workers,0.004504644905658838
X2021_unemployment_insurance_maximum_duration_.weeks.,0.004496091002577832
EPL_SNGPNT,0.004402880027848039
OSHA.approved_state_plan,0.004315454793094322
Late_Fee_Ban_End,0.00431183081677415
No_order_to_suspend_elective_medical_procedures_but_did_release_guidance_or_orders_to_resume,0.004311501659234739
Mandate_quarantine_for_all_individuals_entering_the_state,0.0042726479527547484
COVID.19_liability_protections_for_healthcare_providers,0.004249608156344963
Occupational_injuries._illnesses._and_fatalities_reporting_prior_to_pandemic,0.004248301600389487
negativeTestsViral,0.004212305946852092
Utilities_reconnection_end,0.004196758216143636
EP_LIMENG,0.004173392379229459
Automatic_applications_sent_for_mail.in_ballots_in_response_to_COVID.19_.0.1.2_2_being_conditional._see_notes_for_details.,0.004127322013458038
Report_COVID.19_testing_by_race.ethnicity,0.004087287038734891
Air_or_ventilation_standards,0.0039031955171426247
EPL_CROWD,0.003891857084571438
EPL_POV,0.0038620727839567223
Automatic_mail.in_ballot_system_in_response_to_COVID.19_.0.1.2_2_being_conditional._see_notes_for_details.,0.003847748859680023
Closed_restaurants_.x2.,0.0038166670045601606
Ended_face_mask_mandate,0.0037699384336861937
CDC_moratorium_end,0.00366862379660641
Variant...BQ.1,0.003629764065334924
State_department_in_charge_of_enforcing_programs,0.003593935730788791
CDC_moratorium_start,0.003559983292299145
Reopened_bars_.x2.,0.0035549127889360982
SPL_THEME1,0.0035474430848435874
Variant...BF.7,0.0034407138535989894
EPL_NOVEH,0.003310437224793169
positiveScore,0.0032335747340760724
Closed_businesses_overnight,0.0032150424953218347
Reopened_restaurants_.x2.,0.0031923643822093523
RPL_THEME2,0.0030871355398349567
EP_DISABL,0.0030833477537240334
Vaccine_allocation_phase._Food_Supply_Workers,0.0030393872926909346
Second_Eviction_Initiation_Ban_Start,0.002928725471923249
Closed_casinos_.x2.,0.0029043260898643816
Vaccine_allocation_phase._General_Public,0.002849026682868806
Data_reporting_required_for_medical_treatment,0.0028082053992175295
EPL_UNEMP,0.0027761645211127825
Adults_ages_65._prioritized_ahead_of_essential_workers,0.0027294119556967064
State_has_at_least_one_Indian.Alaska_Native_reservation,0.002728365454552147
Vaccine_allocation_phase._Public_Transit_Workers,0.002715990914404183
Vaccine_allocation_phase._Adults_w._High.Risk_Medical_Conditions,0.002713586941679463
SPL_THEMES,0.0026144994393609336
MP_GROUPQ,0.0025779510655681926
EP_GROUPQ,0.002471973852633774
Vaccine_allocation_phase._Law_Enforcement_._Public_Safety_Personnel,0.0024285711639172747
Variant...BQ.1.1,0.002419842710223697
MP_AGE65,0.002410013838560663
F_NOHSDP,0.0023722275717327603
Variant...BA.4.6,0.0022108397732910467
Vaccine_allocation_phase._Pre.K.12_School_Employees,0.0021531283937862053
Witness_or_notary_signature_required_for_mail.in_ballot_.as_of_September_1._2020.,0.002033482282163674
State_had_CHIP_premium_non.payment_lock.out_period_as_of_January_2019,0.002023955322077566
Made_Effort_to_Limit_Abortion_Access,0.0020172641457312317
Mention_of_tribal_casinos,0.001900723436131307
Were_there_casino.s._in_State._.Land_and_Non.Land_based.,0.0018897652438372313
EP_NOVEH,0.001830032982324975
Report_Indigenous_COVID.19_cases,0.0018297399794661594
Reinstated_work_search_requirement_for_UI,0.0017927226272499205
Reinstated_one_week_waiting_period_for_unemployment_insurance,0.0017835262470839925
EPL_DISABL,0.0017517861056155918
Resumed_visitation_in_state_prisons_x2,0.0017387980174662122
Vaccine_allocation_phase._Firefighters,0.0017331404267826246
