"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
18119,"Owen","Indiana",-0.0489051794090776,5.12391393002635,0,5.46625018588989,"2021-02-10",386,5.32370660055286,-0.0477406520216795,5.13323014912553,5.13206562173813,-0.0077842071604306,0,-0.0068652576525153,-1,0,-1
18119,"Owen","Indiana",-0.0375313197262659,5.16599962807977,0,5.42871886616363,"2021-02-11",387,5.3061438027975,-0.0377591622349214,5.16417688801052,5.16440473051918,0.0113738596828117,0,0.0099814897867581,1,0,1
18119,"Owen","Indiana",-0.0312027860715728,5.17909657759104,0,5.39751608009205,"2021-02-12",388,5.2868229871223,-0.0322998020379314,5.17032044986018,5.17141746582653,0.0063285336546931,0,0.00545936019699,1,0,1
18119,"Owen","Indiana",-0.0143324929007748,5.28285613688586,0,5.38318358719128,"2021-02-13",389,5.25227342804663,-0.018344936124361,5.25075659109716,5.25476903432075,0.016870293170798,0,0.0139548659135704,1,0,1
18119,"Owen","Indiana",-0.0112175376201019,5.29344328623047,0,5.37196604957118,"2021-02-14",390,5.20635870697722,-0.0175746544227923,5.24258635180894,5.24894346861163,0.0031149552806729,0,0.0007702817015687,1,0,1
18119,"Owen","Indiana",-0.0153797748991691,5.24892785037783,0,5.35658627467201,"2021-02-15",391,5.15905529921453,-0.0188609407518104,5.2210785235567,5.22455968940934,-0.0041622372790672,0,-0.0012862863290181,-1,0,-1
18119,"Owen","Indiana",-0.0163047090249443,5.22614860247246,0,5.34028156564707,"2021-02-16",392,5.10681090017701,-0.018567955288695,5.20804263236245,5.2103058786262,-0.0009249341257752,0,0.000292985463115399,-1,0,1
18119,"Owen","Indiana",-0.0165749650942125,5.20768184489337,0,5.32370660055286,"2021-02-17",393,5.05442431121992,-0.0186478815790345,5.19109851301479,5.19317142949962,-0.000270256069268199,0,-7.99262903395e-05,-1,0,-1
18119,"Owen","Indiana",-0.0175627977553497,5.18320421851005,0,5.3061438027975,"2021-02-18",394,4.99624655664416,-0.0193933133505605,5.16856009374838,5.17039060934358,-0.000987832661137202,0,-0.000745431771526001,-1,0,-1
18119,"Owen","Indiana",-0.0193208156752016,5.15157727739589,0,5.2868229871223,"2021-02-19",395,4.92828834639798,-0.0206144417449311,5.14122826883805,5.14252189490778,-0.0017580179198519,0,-0.0012211283943706,-1,0,-1
18119,"Owen","Indiana",-0.0345495590756716,5.01042651451693,0,5.25227342804663,"2021-02-20",396,4.84418708645859,-0.0340097137272708,5.01474527730413,5.01420543195573,-0.01522874340047,0,-0.0133952719823397,-1,0,-1
18119,"Owen","Indiana",-0.0459147210694108,4.88495565949135,0,5.20635870697722,"2021-02-21",397,4.76826038085416,-0.044176423036263,4.89886204375653,4.89712374572338,-0.0113651619937392,0,-0.0101667093089922,-1,0,-1
18119,"Owen","Indiana",-0.0473034077626856,4.82793144487573,0,5.15905529921453,"2021-02-22",398,4.69527202068527,-0.0452138310113151,4.8446480588867,4.84255848213532,-0.0013886866932748,0,-0.0010374079750521,-1,0,-1
18119,"Owen","Indiana",-0.0522443990375201,4.74110010691437,0,5.10681090017701,"2021-02-23",399,4.61512051684126,-0.0480335055253097,4.77478725501205,4.77057636149984,-0.0049409912748345,0,-0.00281967451399461,-1,0,-1
18119,"Owen","Indiana",-0.0523865889570976,4.68771818852024,0,5.05442431121992,"2021-02-24",400,4.52488935472729,-0.0494079081716196,4.71154763480405,4.70856895401858,-0.000142189919577498,0,-0.0013744026463099,-1,0,-1
18119,"Owen","Indiana",-0.0581777545757676,4.58900227461378,0,4.99624655664416,"2021-02-25",401,4.43251603459627,-0.0559282315058713,4.60699845917295,4.60474893610306,-0.00579116561867,0,-0.0065203233342517,-1,0,-1
18119,"Owen","Indiana",-0.0679582102461698,4.45258087467479,0,4.92828834639798,"2021-02-26",402,4.34750912979117,-0.0612365473362387,4.50635417795425,4.49963251504431,-0.0097804556704022,0,-0.0053083158303674,-1,0,-1
